Start time (UTC), 1432 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22083
 Ship longitude, 0.27618
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
423,0.709,0.418,0.369,0.390,0.433,0.751,0.747,0.530,0.755
424,0.709,0.418,0.369,0.390,0.433,0.751,0.747,0.530,0.755
425,0.709,0.418,0.369,0.390,0.434,0.752,0.747,0.530,0.755
426,0.709,0.418,0.369,0.391,0.434,0.752,0.748,0.531,0.756
427,0.709,0.418,0.370,0.391,0.435,0.752,0.748,0.531,0.756
428,0.709,0.418,0.370,0.391,0.435,0.753,0.748,0.532,0.756
429,0.709,0.418,0.370,0.391,0.435,0.753,0.749,0.532,0.756
430,0.709,0.419,0.370,0.391,0.436,0.754,0.749,0.533,0.756
431,0.710,0.419,0.370,0.391,0.436,0.754,0.750,0.533,0.757
432,0.710,0.418,0.370,0.391,0.436,0.754,0.750,0.534,0.757
433,0.710,0.418,0.370,0.391,0.437,0.755,0.750,0.534,0.757
434,0.710,0.418,0.370,0.391,0.437,0.755,0.750,0.535,0.757
435,0.710,0.419,0.370,0.391,0.437,0.756,0.751,0.535,0.757
436,0.710,0.419,0.370,0.391,0.438,0.756,0.751,0.536,0.758
437,0.710,0.419,0.370,0.392,0.438,0.756,0.751,0.536,0.758
438,0.710,0.419,0.370,0.392,0.438,0.757,0.752,0.536,0.758
439,0.710,0.419,0.370,0.392,0.439,0.757,0.752,0.537,0.758
440,0.710,0.419,0.371,0.392,0.439,0.757,0.752,0.537,0.758
441,0.710,0.419,0.371,0.392,0.439,0.758,0.752,0.537,0.758
442,0.710,0.419,0.371,0.393,0.440,0.758,0.753,0.538,0.759
443,0.710,0.419,0.371,0.393,0.440,0.758,0.753,0.538,0.759
444,0.710,0.419,0.372,0.393,0.440,0.758,0.753,0.538,0.759
445,0.710,0.419,0.372,0.393,0.440,0.759,0.754,0.539,0.759
446,0.710,0.419,0.372,0.394,0.440,0.759,0.754,0.539,0.759
447,0.711,0.420,0.372,0.394,0.441,0.759,0.754,0.539,0.759
448,0.711,0.420,0.373,0.394,0.441,0.760,0.754,0.540,0.760
449,0.711,0.420,0.373,0.394,0.441,0.760,0.754,0.540,0.760
450,0.711,0.420,0.373,0.394,0.441,0.760,0.755,0.540,0.760
451,0.711,0.420,0.373,0.394,0.441,0.760,0.755,0.541,0.760
452,0.711,0.420,0.373,0.395,0.442,0.760,0.755,0.541,0.760
453,0.711,0.420,0.373,0.395,0.442,0.761,0.755,0.541,0.760
454,0.711,0.420,0.373,0.395,0.442,0.761,0.755,0.541,0.760
455,0.711,0.420,0.373,0.395,0.442,0.761,0.756,0.542,0.760
456,0.711,0.420,0.373,0.395,0.443,0.762,0.756,0.542,0.761
457,0.711,0.420,0.374,0.395,0.443,0.762,0.756,0.542,0.761
458,0.711,0.420,0.374,0.395,0.443,0.762,0.756,0.542,0.761
459,0.711,0.420,0.374,0.395,0.443,0.762,0.756,0.543,0.761
460,0.711,0.420,0.374,0.395,0.444,0.762,0.757,0.543,0.761
461,0.711,0.420,0.374,0.395,0.444,0.762,0.757,0.543,0.761
462,0.711,0.420,0.374,0.395,0.444,0.763,0.757,0.543,0.761
463,0.711,0.420,0.374,0.395,0.444,0.763,0.757,0.544,0.761
464,0.711,0.420,0.374,0.395,0.444,0.763,0.757,0.544,0.761
465,0.712,0.420,0.374,0.396,0.444,0.763,0.758,0.544,0.761
466,0.712,0.421,0.374,0.396,0.445,0.763,0.758,0.544,0.761
467,0.712,0.421,0.374,0.396,0.445,0.764,0.758,0.544,0.762
468,0.712,0.421,0.375,0.396,0.445,0.764,0.758,0.545,0.762
469,0.712,0.421,0.375,0.396,0.445,0.764,0.758,0.545,0.762
470,0.712,0.421,0.375,0.396,0.445,0.764,0.758,0.545,0.762
471,0.712,0.421,0.375,0.396,0.445,0.764,0.758,0.545,0.762
472,0.712,0.421,0.375,0.396,0.445,0.764,0.758,0.545,0.762
473,0.712,0.421,0.376,0.397,0.446,0.764,0.758,0.545,0.762
474,0.712,0.421,0.376,0.397,0.446,0.764,0.759,0.545,0.762
475,0.712,0.421,0.376,0.397,0.446,0.764,0.759,0.545,0.762
476,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
477,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
478,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
479,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
480,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
481,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
482,0.712,0.421,0.376,0.397,0.446,0.765,0.759,0.546,0.762
483,0.712,0.421,0.376,0.396,0.446,0.765,0.759,0.546,0.762
484,0.712,0.421,0.376,0.396,0.446,0.765,0.760,0.546,0.762
485,0.712,0.421,0.376,0.396,0.446,0.765,0.760,0.546,0.762
486,0.712,0.421,0.375,0.396,0.446,0.765,0.759,0.546,0.762
487,0.712,0.420,0.375,0.396,0.446,0.765,0.760,0.546,0.762
488,0.712,0.421,0.375,0.395,0.446,0.766,0.760,0.546,0.762
489,0.712,0.421,0.374,0.395,0.446,0.766,0.759,0.545,0.762
490,0.712,0.420,0.374,0.395,0.446,0.766,0.760,0.545,0.762
491,0.712,0.420,0.374,0.395,0.446,0.766,0.760,0.545,0.762
492,0.712,0.420,0.374,0.394,0.446,0.766,0.760,0.545,0.762
493,0.712,0.420,0.373,0.394,0.445,0.766,0.760,0.545,0.762
494,0.712,0.420,0.373,0.394,0.445,0.766,0.760,0.545,0.762
495,0.712,0.420,0.373,0.394,0.445,0.766,0.760,0.545,0.762
496,0.712,0.420,0.373,0.393,0.445,0.766,0.760,0.545,0.761
497,0.712,0.420,0.373,0.393,0.445,0.766,0.760,0.545,0.762
498,0.712,0.420,0.373,0.393,0.445,0.766,0.760,0.544,0.762
499,0.712,0.420,0.373,0.393,0.445,0.766,0.760,0.544,0.762
500,0.712,0.420,0.373,0.393,0.445,0.766,0.760,0.544,0.761
501,0.712,0.420,0.373,0.393,0.444,0.766,0.760,0.544,0.761
502,0.712,0.420,0.372,0.392,0.444,0.766,0.760,0.543,0.761
503,0.712,0.419,0.372,0.392,0.444,0.766,0.760,0.543,0.761
504,0.712,0.419,0.372,0.392,0.443,0.766,0.760,0.543,0.761
505,0.712,0.419,0.372,0.392,0.443,0.766,0.760,0.542,0.761
506,0.712,0.419,0.372,0.392,0.443,0.766,0.760,0.542,0.761
507,0.712,0.419,0.372,0.391,0.442,0.766,0.760,0.542,0.761
508,0.712,0.419,0.372,0.391,0.442,0.766,0.760,0.541,0.760
509,0.712,0.419,0.372,0.391,0.441,0.766,0.760,0.540,0.760
510,0.712,0.419,0.371,0.390,0.441,0.766,0.760,0.540,0.760
511,0.712,0.419,0.371,0.390,0.440,0.766,0.760,0.539,0.760
512,0.712,0.419,0.371,0.390,0.440,0.766,0.759,0.539,0.759
513,0.712,0.419,0.371,0.390,0.439,0.766,0.759,0.538,0.759
514,0.712,0.419,0.371,0.389,0.439,0.765,0.759,0.538,0.759
515,0.712,0.419,0.371,0.389,0.439,0.765,0.759,0.537,0.759
516,0.712,0.419,0.371,0.389,0.439,0.765,0.759,0.537,0.759
517,0.712,0.419,0.371,0.389,0.438,0.766,0.759,0.537,0.759
518,0.712,0.418,0.371,0.389,0.438,0.765,0.759,0.536,0.758
519,0.713,0.418,0.371,0.389,0.438,0.765,0.759,0.536,0.758
