Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
803,0.642,0.628,0.195,0.298,0.624,0.596
804,0.641,0.627,0.195,0.298,0.623,0.595
805,0.641,0.627,0.195,0.298,0.623,0.595
806,0.641,0.626,0.195,0.297,0.622,0.595
807,0.640,0.626,0.195,0.297,0.622,0.594
808,0.640,0.626,0.195,0.297,0.621,0.594
809,0.639,0.625,0.195,0.297,0.621,0.594
810,0.639,0.625,0.195,0.297,0.621,0.593
811,0.639,0.625,0.195,0.297,0.620,0.593
812,0.639,0.625,0.195,0.297,0.620,0.593
813,0.639,0.624,0.195,0.297,0.620,0.593
814,0.639,0.624,0.195,0.296,0.620,0.593
815,0.639,0.624,0.195,0.296,0.620,0.593
816,0.639,0.624,0.195,0.296,0.620,0.593
817,0.639,0.624,0.195,0.296,0.620,0.593
818,0.639,0.624,0.195,0.296,0.620,0.593
819,0.639,0.624,0.195,0.296,0.620,0.593
820,0.639,0.624,0.195,0.296,0.620,0.593
821,0.639,0.624,0.195,0.296,0.620,0.593
822,0.639,0.624,0.195,0.296,0.620,0.593
823,0.640,0.624,0.195,0.296,0.620,0.594
824,0.640,0.624,0.195,0.296,0.620,0.594
825,0.640,0.625,0.195,0.296,0.621,0.594
826,0.640,0.625,0.194,0.296,0.621,0.594
827,0.640,0.625,0.194,0.296,0.621,0.594
828,0.640,0.625,0.194,0.296,0.621,0.595
829,0.641,0.625,0.194,0.296,0.621,0.594
830,0.641,0.625,0.194,0.296,0.621,0.594
831,0.641,0.625,0.193,0.296,0.621,0.594
832,0.641,0.625,0.193,0.296,0.621,0.594
833,0.641,0.625,0.193,0.295,0.621,0.594
834,0.641,0.625,0.192,0.295,0.621,0.594
835,0.641,0.625,0.192,0.295,0.621,0.594
836,0.640,0.625,0.192,0.295,0.621,0.594
837,0.640,0.624,0.191,0.295,0.620,0.594
838,0.640,0.624,0.191,0.294,0.620,0.593
839,0.640,0.624,0.191,0.294,0.620,0.593
840,0.639,0.623,0.190,0.294,0.619,0.593
841,0.639,0.623,0.190,0.293,0.619,0.592
842,0.639,0.622,0.190,0.293,0.618,0.592
843,0.638,0.622,0.189,0.293,0.618,0.591
844,0.637,0.621,0.189,0.292,0.617,0.591
845,0.637,0.621,0.188,0.292,0.616,0.590
846,0.636,0.620,0.188,0.292,0.616,0.589
847,0.635,0.619,0.188,0.291,0.615,0.589
848,0.635,0.618,0.187,0.291,0.614,0.588
849,0.634,0.617,0.187,0.290,0.613,0.587
850,0.633,0.616,0.187,0.290,0.612,0.586
851,0.632,0.615,0.186,0.289,0.611,0.585
852,0.631,0.614,0.186,0.289,0.610,0.584
853,0.630,0.613,0.186,0.288,0.609,0.583
854,0.628,0.611,0.185,0.288,0.607,0.581
855,0.627,0.610,0.185,0.287,0.606,0.580
856,0.625,0.608,0.184,0.287,0.605,0.579
857,0.624,0.607,0.184,0.286,0.603,0.577
858,0.622,0.605,0.184,0.286,0.602,0.576
859,0.621,0.603,0.183,0.285,0.600,0.574
860,0.619,0.602,0.183,0.284,0.599,0.573
861,0.617,0.600,0.182,0.284,0.597,0.571
862,0.616,0.598,0.182,0.283,0.595,0.569
863,0.614,0.596,0.181,0.282,0.593,0.567
864,0.612,0.594,0.181,0.281,0.591,0.565
865,0.610,0.593,0.180,0.280,0.589,0.564
866,0.608,0.591,0.179,0.280,0.587,0.562
867,0.606,0.589,0.179,0.279,0.585,0.560
868,0.604,0.586,0.178,0.278,0.583,0.558
869,0.602,0.584,0.178,0.277,0.581,0.556
870,0.600,0.582,0.177,0.276,0.579,0.553
871,0.598,0.580,0.177,0.275,0.577,0.551
872,0.596,0.578,0.176,0.274,0.575,0.549
873,0.594,0.576,0.175,0.273,0.572,0.547
874,0.592,0.574,0.175,0.272,0.570,0.544
875,0.589,0.572,0.174,0.271,0.568,0.542
876,0.587,0.569,0.174,0.270,0.566,0.540
877,0.585,0.567,0.173,0.269,0.564,0.538
878,0.583,0.565,0.172,0.268,0.561,0.535
879,0.580,0.562,0.172,0.268,0.559,0.533
880,0.578,0.560,0.171,0.267,0.557,0.531
881,0.576,0.557,0.171,0.266,0.554,0.528
882,0.574,0.555,0.170,0.265,0.552,0.526
883,0.571,0.552,0.170,0.264,0.550,0.524
884,0.569,0.550,0.169,0.263,0.548,0.522
885,0.567,0.548,0.169,0.262,0.545,0.520
886,0.565,0.545,0.168,0.261,0.543,0.518
887,0.562,0.543,0.168,0.260,0.541,0.516
888,0.560,0.541,0.167,0.259,0.539,0.513
889,0.558,0.538,0.167,0.258,0.537,0.511
890,0.557,0.536,0.166,0.257,0.534,0.509
891,0.554,0.534,0.166,0.256,0.532,0.507
892,0.553,0.532,0.165,0.255,0.530,0.505
893,0.551,0.531,0.165,0.254,0.529,0.504
894,0.549,0.529,0.164,0.254,0.527,0.502
895,0.548,0.527,0.164,0.253,0.525,0.500
896,0.546,0.526,0.163,0.252,0.524,0.499
897,0.544,0.525,0.163,0.251,0.523,0.497
898,0.543,0.523,0.162,0.251,0.521,0.496
899,0.542,0.522,0.162,0.250,0.520,0.494
900,0.540,0.520,0.161,0.250,0.518,0.493
901,0.539,0.519,0.161,0.249,0.517,0.492
902,0.538,0.518,0.160,0.248,0.516,0.490
903,0.537,0.517,0.160,0.248,0.515,0.489
904,0.536,0.516,0.160,0.248,0.514,0.488
905,0.535,0.515,0.160,0.248,0.512,0.487
906,0.534,0.515,0.160,0.247,0.512,0.486
907,0.533,0.514,0.160,0.247,0.511,0.486
908,0.532,0.513,0.160,0.246,0.510,0.485
909,0.531,0.512,0.159,0.246,0.509,0.485
910,0.530,0.511,0.159,0.246,0.508,0.484
911,0.529,0.510,0.159,0.245,0.507,0.484
912,0.528,0.508,0.159,0.245,0.506,0.483
913,0.527,0.508,0.159,0.245,0.505,0.482
914,0.526,0.507,0.159,0.244,0.504,0.482
915,0.526,0.506,0.159,0.244,0.504,0.481
916,0.525,0.505,0.159,0.243,0.503,0.481
917,0.525,0.505,0.158,0.243,0.502,0.480
918,0.524,0.504,0.158,0.243,0.501,0.480
919,0.523,0.503,0.158,0.243,0.501,0.480
920,0.523,0.503,0.158,0.242,0.500,0.479
921,0.522,0.502,0.157,0.242,0.500,0.478
922,0.521,0.501,0.157,0.241,0.499,0.478
923,0.521,0.500,0.157,0.241,0.499,0.477
924,0.520,0.499,0.157,0.241,0.498,0.477
925,0.521,0.499,0.157,0.240,0.498,0.475
926,0.520,0.498,0.156,0.240,0.496,0.475
927,0.520,0.497,0.156,0.240,0.496,0.474
928,0.520,0.497,0.156,0.239,0.495,0.473
929,0.519,0.496,0.156,0.239,0.495,0.473
930,0.519,0.495,0.157,0.240,0.495,0.473
931,0.519,0.495,0.156,0.240,0.494,0.474
932,0.520,0.495,0.156,0.240,0.494,0.474
933,0.520,0.495,0.157,0.240,0.494,0.474
934,0.520,0.494,0.157,0.241,0.493,0.474
935,0.519,0.493,0.157,0.242,0.492,0.474
936,0.518,0.493,0.158,0.241,0.491,0.473
937,0.517,0.493,0.159,0.242,0.492,0.473
938,0.518,0.493,0.159,0.242,0.492,0.472
939,0.518,0.492,0.160,0.242,0.492,0.471
940,0.516,0.492,0.161,0.242,0.491,0.470
941,0.516,0.491,0.161,0.242,0.491,0.471
942,0.516,0.491,0.161,0.241,0.490,0.471
943,0.515,0.490,0.161,0.240,0.488,0.470
944,0.513,0.488,0.161,0.239,0.487,0.469
945,0.512,0.488,0.161,0.237,0.486,0.467
946,0.510,0.487,0.163,0.238,0.486,0.466
947,0.506,0.486,0.164,0.238,0.485,0.465
948,0.505,0.484,0.165,0.236,0.483,0.464
949,0.503,0.483,0.167,0.235,0.483,0.462
950,0.503,0.482,0.167,0.234,0.482,0.460
951,0.503,0.480,0.166,0.234,0.481,0.459
952,0.502,0.478,0.166,0.234,0.478,0.457
953,0.500,0.475,0.166,0.233,0.475,0.455
954,0.498,0.472,0.166,0.232,0.472,0.453
955,0.496,0.469,0.165,0.231,0.470,0.452
956,0.493,0.467,0.164,0.230,0.468,0.448
957,0.490,0.466,0.164,0.231,0.466,0.445
958,0.489,0.464,0.163,0.231,0.464,0.442
959,0.488,0.462,0.163,0.230,0.461,0.441
960,0.486,0.458,0.162,0.229,0.459,0.439
961,0.485,0.455,0.160,0.228,0.456,0.436
962,0.484,0.452,0.158,0.226,0.453,0.433
963,0.481,0.449,0.156,0.226,0.450,0.429
964,0.478,0.446,0.154,0.223,0.447,0.427
965,0.475,,0.153,0.221,0.443,0.425
966,0.470,,0.152,0.220,0.440,0.422
967,,,0.151,0.218,0.436,0.419
968,,,0.149,0.216,,0.417
969,,,0.147,0.214,,0.413
970,,,0.145,0.212,,0.411
971,,,0.145,0.211,,0.408
972,,,0.144,0.210,,0.406
973,,,0.143,0.208,,0.404
974,,,0.142,0.206,,0.401
975,,,0.141,0.205,,0.397
976,,,0.140,0.204,,0.393
977,,,0.139,0.203,,0.391
978,,,0.137,0.202,,0.389
979,,,0.135,0.200,,0.385
980,,,0.134,0.199,,0.383
981,,,0.134,0.198,,0.381
982,,,0.133,0.196,,0.379
983,,,0.132,0.195,,0.376
984,,,0.131,0.192,,0.373
985,,,0.131,0.191,,0.370
986,,,0.130,0.189,,0.367
987,,,0.129,0.188,,0.363
988,,,0.128,0.186,,0.360
989,,,0.128,0.185,,0.358
990,,,0.127,0.184,,0.356
991,,,0.126,0.183,,0.353
992,,,0.126,0.181,,0.350
993,,,0.126,0.180,,0.348
994,,,0.125,0.179,0.357,0.346
995,0.384,,0.124,0.178,0.354,0.343
996,0.382,,0.123,0.176,0.351,0.340
997,0.380,,0.123,0.176,0.349,0.338
998,0.378,,0.123,0.177,0.347,0.336
999,0.376,,0.122,0.177,0.346,0.334
1000,0.375,,0.123,0.179,0.346,0.333
1001,0.373,,0.123,0.178,0.345,0.331
1002,0.371,,0.123,0.178,0.344,0.330
1003,0.369,,0.122,0.177,0.342,0.328
1004,0.367,,0.121,0.177,0.341,0.325
1005,0.365,0.337,0.120,0.176,0.339,0.322
1006,0.362,0.335,0.119,0.175,0.337,0.319
1007,0.359,0.333,0.119,0.174,0.335,0.317
1008,0.357,0.331,0.118,0.173,0.335,0.314
1009,0.355,0.329,0.118,0.172,0.334,0.312
1010,0.352,0.327,0.118,0.172,0.333,0.309
1011,0.349,0.325,0.118,0.171,0.332,0.307
1012,0.347,0.323,0.118,0.169,0.331,0.305
1013,0.345,0.321,0.117,0.167,0.329,0.302
1014,0.343,0.319,0.117,0.166,0.328,0.299
1015,0.340,0.315,0.115,0.164,0.325,0.297
1016,0.338,0.314,0.114,0.163,0.323,0.294
1017,0.336,0.313,0.114,0.162,0.322,0.292
1018,0.334,0.311,0.114,0.161,0.320,0.291
1019,0.333,0.310,0.114,0.161,0.319,0.289
1020,0.331,0.308,0.114,0.160,0.319,0.288
1021,0.330,0.307,0.114,0.160,0.318,0.286
1022,0.328,0.306,0.114,0.159,0.317,0.285
1023,0.327,0.305,0.113,0.159,0.316,0.284
1024,0.325,0.304,0.113,0.158,0.315,0.283
1025,0.324,0.303,0.112,0.158,0.315,0.282
1026,0.323,0.302,0.112,0.157,0.314,0.281
1027,0.321,0.301,0.112,0.157,0.313,0.281
1028,0.320,0.300,0.111,0.156,0.312,0.280
1029,0.320,0.299,0.111,0.156,0.311,0.280
1030,0.319,0.299,0.111,0.156,0.311,0.280
1031,0.319,0.298,0.111,0.156,0.310,0.280
1032,0.320,0.298,0.111,0.156,0.310,0.281
1033,0.320,0.297,0.111,0.156,0.310,0.281
1034,0.320,0.297,0.112,0.156,0.310,0.281
1035,0.320,0.297,0.112,0.156,0.310,0.282
1036,0.321,0.297,0.112,0.156,0.310,0.282
1037,0.322,0.297,0.112,0.156,0.310,0.282
1038,0.323,0.298,0.112,0.157,0.310,0.283
1039,0.324,0.299,0.112,0.157,0.310,0.284
1040,0.325,0.300,0.112,0.157,0.311,0.284
1041,0.326,0.302,0.112,0.158,0.312,0.285
1042,0.327,0.303,0.113,0.158,0.313,0.286
1043,0.328,0.305,0.113,0.159,0.313,0.287
1044,0.329,0.306,0.113,0.160,0.314,0.287
1045,0.330,0.307,0.113,0.161,0.315,0.288
1046,0.331,0.308,0.113,0.161,0.316,0.288
1047,0.332,0.309,0.113,0.162,0.317,0.289
1048,0.333,0.310,0.113,0.162,0.318,0.289
1049,0.333,0.311,0.114,0.163,0.319,0.290
1050,0.334,0.312,0.114,0.163,0.320,0.292
1051,0.335,0.314,0.114,0.163,0.322,0.293
1052,0.336,0.315,0.114,0.164,0.323,0.295
1053,0.338,0.316,0.114,0.164,0.325,0.296
1054,0.339,0.318,0.114,0.165,0.326,0.297
1055,0.341,0.319,0.115,0.165,0.327,0.299
1056,0.343,0.321,0.115,0.166,0.329,0.300
1057,0.345,0.322,0.115,0.167,0.330,0.302
1058,0.346,0.324,0.116,0.168,0.332,0.304
1059,0.347,0.326,0.116,0.169,0.334,0.305
1060,0.349,0.328,0.116,0.169,0.336,0.307
1061,0.350,0.330,0.117,0.170,0.339,0.310
1062,0.352,0.333,0.117,0.171,0.340,0.312
1063,0.354,0.335,0.117,0.172,0.342,0.314
1064,0.356,0.338,0.118,0.173,0.344,0.316
1065,0.358,0.340,0.118,0.174,0.345,0.318
1066,0.360,0.343,0.119,0.175,0.346,0.319
1067,0.362,0.345,0.120,0.176,0.348,0.321
1068,0.364,0.348,0.121,0.176,0.350,0.323
1069,0.366,0.350,0.121,0.177,0.352,0.324
1070,0.369,0.351,0.121,0.178,0.354,0.326
1071,0.371,0.353,0.122,0.179,0.356,0.328
1072,0.373,0.355,0.122,0.180,0.358,0.330
1073,0.375,0.356,0.123,0.181,0.360,0.331
1074,0.377,0.358,0.123,0.182,0.361,0.333
1075,0.378,0.360,0.124,0.183,0.363,0.334
1076,0.380,0.361,0.125,0.184,0.364,0.336
1077,0.381,0.363,0.125,0.184,0.366,0.337
1078,0.382,0.364,0.126,0.185,0.367,0.338
1079,0.383,0.365,0.127,0.186,0.369,0.339
1080,0.385,0.366,0.127,0.187,0.370,0.341
1081,0.386,0.367,0.127,0.188,0.372,0.342
1082,0.387,0.368,0.128,0.188,0.373,0.343
1083,0.388,0.369,0.128,0.189,0.374,0.344
1084,0.389,0.370,0.129,0.189,0.374,0.345
1085,0.389,0.371,0.129,0.189,0.375,0.347
1086,0.390,0.372,0.129,0.189,0.376,0.348
1087,0.390,0.372,0.130,0.189,0.376,0.348
1088,0.391,0.372,0.130,0.188,0.377,0.349
1089,0.392,0.372,0.130,0.188,0.377,0.349
1090,0.393,0.373,0.130,0.188,0.377,0.350
1091,0.394,0.373,0.130,0.188,0.378,0.350
1092,0.395,0.373,0.130,0.187,0.378,0.350
1093,0.395,0.374,0.130,0.187,0.378,0.350
1094,0.395,0.374,0.130,0.187,0.378,0.350
1095,0.395,0.374,0.129,0.187,0.379,0.350
1096,0.395,0.374,0.129,0.187,0.379,0.350
1097,0.394,0.374,0.129,0.187,0.379,0.350
1098,0.394,0.373,0.129,0.187,0.379,0.349
1099,0.393,0.373,0.129,0.187,0.379,0.349
1100,0.392,0.373,0.129,0.187,0.379,0.348
1101,0.392,0.372,0.128,0.186,0.379,0.347
1102,0.391,0.372,0.128,0.186,0.378,0.347
1103,0.390,0.372,0.127,0.186,0.378,0.346
1104,0.389,0.372,0.127,0.186,0.378,0.346
1105,0.388,0.372,0.126,0.185,0.378,0.346
1106,0.387,0.372,0.126,0.185,0.378,0.345
1107,0.387,0.371,0.125,0.184,0.377,0.345
1108,0.386,0.371,0.126,0.184,0.377,0.344
1109,0.385,0.370,0.126,0.183,0.376,0.343
1110,0.385,0.369,0.127,0.183,0.376,0.342
1111,0.385,0.368,0.127,0.182,0.375,0.342
1112,0.385,0.368,0.128,0.181,0.375,0.341
1113,0.384,0.367,0.128,0.179,0.374,0.340
1114,0.384,0.367,0.127,0.178,0.373,0.339
1115,0.384,0.366,0.127,0.177,0.372,0.339
1116,0.384,0.365,0.126,0.176,0.371,0.338
1117,0.383,0.364,0.124,0.176,0.371,0.338
1118,0.382,0.365,0.123,0.175,0.371,0.339
1119,0.381,0.365,0.122,0.175,0.371,0.340
1120,0.380,0.365,0.122,0.174,0.370,0.341
1121,0.379,0.365,0.122,0.172,0.371,0.341
1122,0.379,0.364,0.122,0.170,0.370,0.341
1123,0.379,0.362,0.123,0.169,0.369,0.340
1124,0.380,0.361,0.121,0.170,0.368,0.338
1125,0.381,0.360,0.119,0.171,0.367,0.336
1126,0.379,0.360,0.116,0.172,0.364,0.334
1127,0.376,0.360,0.113,0.172,0.362,0.332
1128,0.372,0.360,0.110,0.172,0.359,0.330
1129,,0.360,0.108,0.172,0.357,0.329
1130,,0.359,0.107,0.171,0.356,0.327
1131,,0.358,0.107,0.170,0.356,0.325
1132,,0.355,0.108,0.168,0.356,0.323
1133,,0.352,0.110,0.166,0.355,0.320
1134,,0.348,0.110,0.166,0.353,0.318
1135,,0.345,0.109,0.166,0.351,0.315
1136,,0.341,0.109,0.166,0.349,0.313
1137,,0.340,0.107,0.167,0.347,0.311
1138,,0.338,0.105,0.167,0.346,0.311
1139,,0.336,0.104,0.166,0.345,0.311
1140,,0.333,0.104,0.164,0.344,0.312
1141,,0.331,0.106,0.162,0.345,0.313
1142,,0.328,0.107,0.160,0.345,0.313
1143,,0.324,0.108,0.159,0.345,0.312
1144,,0.320,0.109,0.158,0.345,0.311
1145,,,0.110,0.158,0.343,0.311
1146,,,0.111,0.158,0.341,0.310
1147,,,0.111,0.158,0.338,0.308
1148,,,0.111,0.157,0.335,0.306
1149,,,0.111,0.157,0.332,0.303
1150,,,0.111,0.156,0.329,0.300
1151,,,0.111,0.155,0.326,0.297
1152,,,0.112,0.153,,0.294
1153,,,0.113,0.152,,
1154,,,0.113,0.150,,
1155,,,0.112,0.149,,
1156,,,0.111,0.148,,
1157,,,0.110,0.146,,
1158,,,0.110,0.145,,
1159,,,0.109,0.144,,
1160,,,0.108,0.142,,
1161,,,0.107,0.140,,
1162,,0.272,0.105,0.140,,
1163,,0.269,0.104,0.139,,
1164,,0.267,0.103,0.138,,
1165,,0.264,0.103,0.137,,
1166,,0.261,0.101,0.136,,
1167,,0.259,0.100,0.134,,
1168,,0.257,0.098,0.133,,
1169,,0.255,0.097,0.132,,
1170,,0.253,0.097,0.131,,
1171,,0.251,0.097,0.130,,
1172,,0.249,0.097,0.129,,
1173,,0.246,0.096,0.128,,
1174,,0.243,0.096,0.127,,
1175,,0.240,0.095,0.127,,
1176,,0.238,0.094,0.126,,0.223
1177,,0.235,0.093,0.125,,0.221
1178,,0.233,0.093,0.124,0.242,0.218
1179,,0.230,0.092,0.123,0.239,0.216
1180,0.244,0.228,0.091,0.122,0.236,0.213
1181,0.242,0.225,0.090,0.121,0.234,0.211
1182,0.239,0.223,0.090,0.120,0.231,0.208
1183,0.237,0.220,0.089,0.119,0.228,0.205
1184,0.235,0.217,0.088,0.118,0.226,0.203
1185,0.232,0.215,0.088,0.117,0.223,0.200
1186,0.230,0.212,0.087,0.117,0.221,0.198
1187,0.227,0.209,0.087,0.116,0.219,0.195
1188,0.225,0.207,0.086,0.115,0.216,0.193
1189,0.222,0.205,0.085,0.114,0.213,0.190
1190,0.220,0.202,0.085,0.112,0.210,0.187
1191,0.217,0.200,0.084,0.111,0.208,0.185
1192,0.215,0.197,0.083,0.110,0.205,0.183
1193,0.213,0.195,0.082,0.109,0.202,0.181
1194,0.211,0.192,0.081,0.108,0.200,0.179
1195,0.209,0.190,0.081,0.107,0.198,0.177
1196,0.207,0.188,0.080,0.106,0.197,0.175
1197,0.205,0.186,0.080,0.104,0.195,0.173
1198,0.202,0.184,0.079,0.103,0.193,0.171
1199,0.200,0.182,0.079,0.102,0.191,0.169
1200,0.198,0.181,0.078,0.102,0.189,0.167
1201,0.196,0.179,0.077,0.101,0.186,0.165
1202,0.195,0.177,0.076,0.100,0.184,0.163
1203,0.193,0.176,0.076,0.099,0.183,0.162
1204,0.191,0.174,0.075,0.099,0.181,0.160
1205,0.190,0.172,0.075,0.098,0.179,0.159
1206,0.188,0.170,0.075,0.097,0.178,0.157
1207,0.187,0.169,0.074,0.096,0.176,0.156
1208,0.185,0.167,0.074,0.095,0.175,0.155
1209,0.183,0.166,0.073,0.095,0.173,0.153
1210,0.181,0.164,0.073,0.094,0.172,0.152
1211,0.179,0.163,0.073,0.093,0.170,0.150
1212,0.178,0.162,0.072,0.093,0.169,0.149
1213,0.176,0.160,0.072,0.092,0.167,0.148
1214,0.175,0.159,0.072,0.092,0.165,0.147
1215,0.173,0.158,0.071,0.091,0.164,0.146
1216,0.172,0.156,0.071,0.090,0.163,0.144
1217,0.171,0.154,0.070,0.089,0.162,0.144
1218,0.169,0.153,0.070,0.089,0.161,0.143
1219,0.168,0.152,0.069,0.088,0.160,0.141
1220,0.167,0.151,0.069,0.087,0.159,0.140
1221,0.166,0.150,0.068,0.087,0.159,0.139
1222,0.165,0.149,0.068,0.087,0.158,0.138
1223,0.164,0.148,0.067,0.086,0.157,0.136
1224,0.163,0.147,0.067,0.086,0.156,0.135
1225,0.162,0.145,0.066,0.086,0.155,0.134
1226,0.162,0.144,0.066,0.086,0.153,0.134
1227,0.161,0.143,0.065,0.086,0.152,0.133
1228,0.160,0.142,0.065,0.085,0.151,0.132
1229,0.159,0.142,0.065,0.085,0.150,0.132
1230,0.158,0.141,0.065,0.085,0.150,0.131
1231,0.158,0.140,0.065,0.084,0.149,0.131
1232,0.157,0.140,0.065,0.084,0.148,0.130
1233,0.156,0.139,0.065,0.084,0.147,0.129
1234,0.156,0.139,0.065,0.084,0.147,0.129
1235,0.155,0.139,0.065,0.084,0.146,0.128
1236,0.154,0.139,0.065,0.083,0.146,0.128
1237,0.153,0.139,0.065,0.083,0.145,0.128
1238,0.153,0.138,0.065,0.083,0.144,0.127
1239,0.152,0.138,0.065,0.083,0.144,0.127
1240,0.152,0.137,0.065,0.082,0.143,0.126
1241,0.152,0.137,0.065,0.082,0.143,0.126
1242,0.151,0.136,0.065,0.082,0.143,0.126
1243,0.151,0.136,0.065,0.082,0.143,0.126
1244,0.151,0.135,0.065,0.081,0.143,0.125
1245,0.150,0.135,0.065,0.081,0.143,0.125
1246,0.150,0.135,0.064,0.081,0.142,0.124
1247,0.149,0.135,0.064,0.081,0.142,0.124
1248,0.149,0.135,0.064,0.080,0.141,0.124
1249,0.149,0.134,0.064,0.080,0.141,0.123
1250,0.149,0.134,0.064,0.080,0.141,0.123
1251,0.149,0.133,0.064,0.080,0.140,0.122
1252,0.149,0.133,0.064,0.080,0.140,0.122
1253,0.148,0.133,0.064,0.080,0.140,0.122
1254,0.148,0.133,0.064,0.080,0.139,0.122
1255,0.148,0.133,0.064,0.080,0.139,0.122
1256,0.148,0.133,0.064,0.080,0.139,0.122
1257,0.147,0.133,0.064,0.080,0.139,0.121
1258,0.147,0.133,0.065,0.080,0.139,0.121
1259,0.147,0.133,0.065,0.080,0.139,0.121
1260,0.147,0.133,0.065,0.080,0.139,0.121
1261,0.147,0.133,0.065,0.080,0.139,0.121
1262,0.147,0.133,0.065,0.080,0.139,0.121
1263,0.147,0.134,0.065,0.080,0.139,0.121
1264,0.147,0.134,0.066,0.080,0.139,0.122
1265,0.146,0.134,0.065,0.080,0.139,0.122
1266,0.146,0.134,0.065,0.080,0.139,0.123
1267,0.146,0.135,0.065,0.080,0.139,0.123
1268,0.146,0.135,0.065,0.080,0.139,0.123
1269,0.146,0.135,0.065,0.081,0.140,0.123
1270,0.146,0.135,0.065,0.081,0.140,0.123
1271,0.146,0.136,0.065,0.081,0.140,0.124
1272,0.146,0.136,0.065,0.081,0.140,0.124
1273,0.146,0.136,0.065,0.081,0.140,0.124
1274,0.147,0.136,0.064,0.081,0.140,0.124
1275,0.147,0.136,0.064,0.081,0.141,0.124
1276,0.148,0.137,0.064,0.081,0.141,0.124
1277,0.148,0.137,0.064,0.081,0.141,0.124
1278,0.148,0.137,0.064,0.081,0.142,0.124
1279,0.149,0.137,0.064,0.082,0.142,0.125
1280,0.149,0.137,0.064,0.082,0.143,0.124
1281,0.149,0.138,0.064,0.082,0.143,0.124
1282,0.150,0.138,0.064,0.082,0.143,0.124
1283,0.151,0.138,0.064,0.083,0.144,0.124
1284,0.151,0.138,0.064,0.083,0.144,0.124
1285,0.152,0.139,0.064,0.083,0.144,0.125
1286,0.152,0.139,0.064,0.083,0.145,0.125
1287,0.152,0.140,0.064,0.084,0.145,0.125
1288,0.152,0.140,0.064,0.084,0.145,0.125
1289,0.152,0.140,0.064,0.084,0.146,0.126
1290,0.152,0.140,0.064,0.085,0.146,0.126
1291,0.152,0.140,0.065,0.085,0.146,0.126
1292,0.153,0.140,0.065,0.085,0.146,0.126
1293,0.153,0.140,0.065,0.085,0.146,0.127
1294,0.154,0.140,0.065,0.085,0.146,0.127
1295,0.154,0.140,0.065,0.084,0.146,0.127
1296,0.154,0.140,0.065,0.084,0.146,0.127
1297,0.154,0.140,0.066,0.084,0.145,0.127
1298,0.154,0.140,0.066,0.084,0.145,0.127
1299,0.153,0.139,0.066,0.084,0.145,0.127
1300,0.153,0.139,0.067,0.084,0.145,0.128
1301,0.153,0.139,0.066,0.084,0.145,0.128
1302,0.154,0.138,0.066,0.083,0.145,0.128
1303,0.154,0.138,0.066,0.083,0.145,0.127
1304,0.154,0.138,0.067,0.083,0.145,0.128
1305,0.154,0.138,0.066,0.083,0.145,0.128
1306,0.154,0.138,0.067,0.083,0.145,0.128
1307,0.153,0.137,0.067,0.083,0.144,0.127
1308,0.153,0.137,0.067,0.082,0.144,0.127
1309,0.152,0.137,0.067,0.082,0.145,0.127
1310,0.152,0.137,0.067,0.082,0.145,0.127
1311,0.152,0.137,0.067,0.081,0.145,0.127
1312,0.153,0.137,0.066,0.080,0.145,0.128
1313,0.153,0.137,0.066,0.080,0.145,0.128
1314,0.153,0.136,0.066,0.080,0.145,0.128
1315,0.153,0.136,0.066,0.080,0.145,0.128
1316,0.153,0.136,0.066,0.080,0.145,0.127
1317,0.152,0.136,0.065,0.080,0.144,0.127
1318,0.152,0.136,0.065,0.080,0.144,0.127
1319,0.152,0.135,0.064,0.080,0.144,0.126
1320,0.151,0.135,0.064,0.079,0.144,0.126
1321,0.151,0.135,0.063,0.079,0.144,0.126
1322,0.151,0.135,0.063,0.079,0.144,0.126
1323,0.152,0.135,0.063,0.079,0.144,0.125
1324,0.152,0.135,0.063,0.079,0.143,0.125
1325,0.152,0.134,0.063,0.079,0.143,0.125
1326,0.152,0.133,0.063,0.079,0.143,0.124
1327,0.152,0.133,0.062,0.079,0.143,0.123
1328,0.151,0.132,0.062,0.079,0.143,0.123
1329,0.151,0.132,0.061,0.079,0.143,0.122
1330,0.151,0.132,0.061,0.078,0.143,0.122
1331,0.151,0.132,0.061,0.078,0.143,0.122
1332,0.151,0.132,0.061,0.077,0.143,0.121
1333,0.150,0.131,0.061,0.077,0.143,0.121
1334,0.150,0.130,0.060,0.076,0.143,0.121
1335,0.149,0.128,0.060,0.076,0.142,0.120
1336,0.149,0.127,0.060,0.076,0.142,0.120
1337,0.149,0.126,0.060,0.076,0.141,0.120
1338,0.148,0.126,0.060,0.077,0.141,0.120
1339,0.147,0.126,0.060,0.077,0.141,0.120
