Start time (UTC), 1250 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22533
 Ship longitude, 0.28287
Position, 1, 2, 3, 4, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6
431,0.329,0.809,0.464,0.783,0.774,0.265,0.717
432,0.329,0.809,0.464,0.783,0.774,0.265,0.717
433,0.329,0.809,0.465,0.784,0.774,0.265,0.717
434,0.329,0.810,0.466,0.784,0.774,0.266,0.718
435,0.329,0.810,0.466,0.784,0.774,0.266,0.717
436,0.329,0.810,0.466,0.784,0.775,0.266,0.718
437,0.329,0.810,0.467,0.784,0.775,0.266,0.718
438,0.329,0.810,0.468,0.784,0.775,0.267,0.718
439,0.329,0.810,0.468,0.785,0.775,0.267,0.718
440,0.329,0.810,0.468,0.785,0.775,0.267,0.718
441,0.329,0.810,0.469,0.785,0.775,0.267,0.718
442,0.329,0.810,0.469,0.785,0.775,0.268,0.718
443,0.330,0.810,0.470,0.785,0.775,0.268,0.719
444,0.330,0.811,0.470,0.786,0.775,0.268,0.719
445,0.330,0.811,0.471,0.786,0.775,0.268,0.719
446,0.330,0.811,0.471,0.786,0.775,0.268,0.719
447,0.330,0.811,0.472,0.786,0.775,0.269,0.719
448,0.330,0.811,0.472,0.786,0.775,0.269,0.719
449,0.330,0.811,0.472,0.786,0.775,0.269,0.719
450,0.330,0.811,0.473,0.787,0.775,0.269,0.719
451,0.330,0.811,0.473,0.787,0.775,0.269,0.719
452,0.330,0.811,0.473,0.787,0.775,0.269,0.719
453,0.330,0.811,0.474,0.787,0.776,0.269,0.719
454,0.330,0.811,0.474,0.787,0.776,0.270,0.719
455,0.330,0.811,0.475,0.787,0.776,0.270,0.720
456,0.330,0.811,0.475,0.787,0.776,0.270,0.719
457,0.330,0.811,0.475,0.787,0.776,0.270,0.720
458,0.330,0.811,0.476,0.788,0.776,0.270,0.720
459,0.330,0.812,0.476,0.788,0.776,0.270,0.720
460,0.330,0.812,0.476,0.788,0.776,0.270,0.720
461,0.330,0.812,0.477,0.788,0.776,0.271,0.720
462,0.330,0.812,0.477,0.788,0.776,0.271,0.720
463,0.330,0.812,0.477,0.788,0.776,0.271,0.720
464,0.330,0.812,0.478,0.788,0.776,0.271,0.720
465,0.330,0.812,0.478,0.788,0.776,0.271,0.720
466,0.330,0.812,0.478,0.789,0.776,0.271,0.720
467,0.330,0.812,0.478,0.789,0.776,0.271,0.720
468,0.330,0.812,0.479,0.789,0.776,0.272,0.720
469,0.330,0.812,0.479,0.789,0.776,0.272,0.720
470,0.330,0.812,0.480,0.789,0.776,0.272,0.720
471,0.330,0.812,0.480,0.789,0.776,0.272,0.721
472,0.330,0.812,0.480,0.789,0.776,0.272,0.721
473,0.330,0.812,0.480,0.789,0.776,0.272,0.720
474,0.330,0.813,0.481,0.789,0.776,0.272,0.721
475,0.330,0.813,0.481,0.789,0.776,0.272,0.721
476,0.330,0.813,0.481,0.789,0.777,0.272,0.721
477,0.330,0.813,0.481,0.789,0.776,0.272,0.721
478,0.330,0.813,0.482,0.790,0.776,0.272,0.721
479,0.330,0.813,0.482,0.790,0.777,0.272,0.721
480,0.329,0.813,0.482,0.790,0.776,0.272,0.721
481,0.329,0.813,0.482,0.790,0.776,0.272,0.721
482,0.329,0.813,0.483,0.790,0.777,0.272,0.721
483,0.329,0.813,0.483,0.790,0.776,0.272,0.721
484,0.329,0.813,0.483,0.790,0.777,0.272,0.721
485,0.329,0.813,0.483,0.790,0.777,0.272,0.721
486,0.329,0.813,0.483,0.790,0.776,0.272,0.721
487,0.329,0.813,0.484,0.790,0.777,0.272,0.720
488,0.328,0.813,0.484,0.790,0.777,0.272,0.720
489,0.328,0.813,0.484,0.790,0.776,0.272,0.721
490,0.328,0.813,0.484,0.790,0.777,0.272,0.721
491,0.328,0.813,0.484,0.790,0.777,0.272,0.721
492,0.328,0.813,0.485,0.790,0.776,0.272,0.720
493,0.328,0.813,0.485,0.790,0.776,0.272,0.720
494,0.327,0.813,0.485,0.790,0.776,0.272,0.720
495,0.327,0.813,0.485,0.790,0.776,0.272,0.720
496,0.327,0.813,0.485,0.790,0.776,0.272,0.720
497,0.327,0.813,0.486,0.791,0.776,0.271,0.720
498,0.327,0.813,0.486,0.791,0.776,0.271,0.720
499,0.326,0.813,0.486,0.791,0.776,0.271,0.720
500,0.326,0.813,0.486,0.791,0.776,0.271,0.720
501,0.326,0.813,0.487,0.791,0.776,0.271,0.720
502,0.325,0.813,0.487,0.791,0.776,0.271,0.720
503,0.325,0.813,0.487,0.791,0.776,0.271,0.720
504,0.325,0.813,0.487,0.791,0.776,0.271,0.720
505,0.325,0.813,0.487,0.791,0.776,0.271,0.720
506,0.324,0.813,0.487,0.791,0.776,0.270,0.720
507,0.324,0.813,0.488,0.791,0.776,0.270,0.720
508,0.323,0.813,0.488,0.791,0.776,0.270,0.720
509,0.323,0.813,0.488,0.791,0.776,0.269,0.720
510,0.322,0.813,0.488,0.791,0.776,0.269,0.719
511,0.322,0.813,0.488,0.791,0.776,0.269,0.719
512,0.321,0.813,0.488,0.791,0.776,0.268,0.719
513,0.321,0.812,0.488,0.791,0.776,0.268,0.719
514,0.321,0.813,0.488,0.791,0.776,0.268,0.719
515,0.320,0.812,0.488,0.791,0.776,0.268,0.719
516,0.320,0.813,0.489,0.791,0.776,0.268,0.719
517,0.320,0.813,0.489,0.791,0.776,0.268,0.719
518,0.320,0.812,0.489,0.791,0.776,0.267,0.719
519,0.319,0.812,0.489,0.791,0.776,0.267,0.719
520,0.319,0.812,0.489,0.791,0.776,0.267,0.719
521,0.319,0.812,0.489,0.791,0.776,0.267,0.719
522,0.319,0.812,0.490,0.791,0.776,0.267,0.719
523,0.318,0.812,0.490,0.791,0.775,0.267,0.718
524,0.318,0.812,0.490,0.791,0.775,0.267,0.719
525,0.318,0.812,0.490,0.791,0.775,0.267,0.718
526,0.317,0.812,0.490,0.791,0.775,0.267,0.718
527,0.317,0.812,0.490,0.791,0.775,0.267,0.718
528,0.317,0.812,0.491,0.791,0.775,0.267,0.718
529,0.317,0.812,0.491,0.791,0.775,0.267,0.718
530,0.316,0.812,0.491,0.791,0.775,0.266,0.718
531,0.316,0.812,0.491,0.791,0.775,0.266,0.718
532,0.315,0.812,0.491,0.791,0.775,0.266,0.718
533,0.315,0.812,0.491,0.791,0.775,0.266,0.718
534,0.314,0.812,0.491,0.791,0.775,0.266,0.718
535,0.314,0.812,0.491,0.791,0.774,0.265,0.717
536,0.314,0.812,0.491,0.791,0.774,0.265,0.717
537,0.313,0.811,0.491,0.791,0.774,0.265,0.717
538,0.313,0.811,0.491,0.791,0.774,0.265,0.717
539,0.312,0.811,0.491,0.791,0.774,0.264,0.717
540,0.312,0.811,0.491,0.791,0.774,0.264,0.717
541,0.311,0.811,0.492,0.790,0.774,0.264,0.717
542,0.311,0.811,0.492,0.790,0.774,0.263,0.716
543,0.310,0.811,0.491,0.790,0.774,0.263,0.716
544,0.310,0.811,0.491,0.790,0.773,0.263,0.716
