Start time (UTC), 1129 
 Sky conditions, CO-SDV 
 Other notes, Cross-team destructive melt pond sampling @ pond 2-3. Felix measured same pond locations in order: 3, 2, 3.1, 3.2. L-Arm measurement taken at 2 w/ optics & CT cores (false bottom present). Other cores for nutrients methox DIC Chl. Magnaprobe survey of pond.  
 Ship latitude, 81.04501
 Ship longitude, 0.43322
Position,  1A,  1B,   2,   3, 3.1, 3.2
Surface type, S, P, P, P, P, P
Surface thickness (cm),  4.0,  8.0, 13.0,  NaN,  NaN,  NaN
Notes, darker wet patch in middle,             frozen surface,                        NaN,                        NaN,        bubbly pond bottom ,  white/cracked pond bottom
Change in incident (%),0.0, 0.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
457,0.693,0.407,0.379,0.389,0.458,0.502
458,0.693,0.407,0.379,0.389,0.458,0.502
459,0.693,0.407,0.379,0.389,0.458,0.503
460,0.693,0.407,0.379,0.389,0.458,0.503
461,0.693,0.407,0.379,0.389,0.458,0.503
462,0.693,0.407,0.379,0.389,0.458,0.503
463,0.693,0.407,0.379,0.389,0.458,0.503
464,0.693,0.407,0.380,0.390,0.459,0.503
465,0.693,0.407,0.380,0.390,0.459,0.503
466,0.693,0.407,0.380,0.390,0.459,0.503
467,0.693,0.407,0.380,0.390,0.459,0.503
468,0.693,0.408,0.380,0.390,0.459,0.504
469,0.693,0.408,0.380,0.390,0.460,0.504
470,0.694,0.408,0.380,0.390,0.460,0.504
471,0.693,0.408,0.381,0.390,0.460,0.504
472,0.693,0.408,0.381,0.390,0.460,0.504
473,0.693,0.408,0.381,0.390,0.460,0.504
474,0.693,0.408,0.381,0.390,0.460,0.504
475,0.693,0.408,0.381,0.390,0.461,0.504
476,0.693,0.408,0.381,0.390,0.461,0.504
477,0.693,0.408,0.381,0.391,0.461,0.504
478,0.693,0.408,0.381,0.391,0.461,0.504
479,0.693,0.408,0.381,0.391,0.461,0.504
480,0.693,0.408,0.382,0.391,0.461,0.504
481,0.693,0.408,0.382,0.390,0.461,0.504
482,0.693,0.408,0.381,0.390,0.461,0.504
483,0.693,0.408,0.381,0.390,0.461,0.504
484,0.693,0.408,0.381,0.390,0.461,0.504
485,0.693,0.408,0.381,0.390,0.461,0.504
486,0.693,0.408,0.381,0.390,0.461,0.504
487,0.693,0.408,0.381,0.390,0.461,0.503
488,0.693,0.408,0.381,0.389,0.461,0.503
489,0.693,0.408,0.380,0.389,0.460,0.503
490,0.693,0.408,0.380,0.389,0.460,0.503
491,0.693,0.408,0.380,0.389,0.460,0.502
492,0.693,0.407,0.380,0.388,0.460,0.502
493,0.693,0.407,0.379,0.388,0.459,0.502
494,0.693,0.407,0.379,0.388,0.459,0.502
495,0.693,0.407,0.379,0.388,0.459,0.501
496,0.693,0.407,0.379,0.387,0.459,0.501
497,0.693,0.407,0.379,0.387,0.458,0.501
498,0.693,0.407,0.379,0.387,0.458,0.501
499,0.693,0.407,0.378,0.387,0.458,0.500
500,0.693,0.407,0.378,0.387,0.458,0.500
501,0.693,0.407,0.378,0.386,0.458,0.500
502,0.693,0.407,0.378,0.386,0.458,0.499
503,0.693,0.407,0.378,0.386,0.457,0.499
504,0.693,0.407,0.378,0.386,0.457,0.499
505,0.693,0.407,0.377,0.385,0.457,0.498
506,0.693,0.407,0.377,0.385,0.457,0.498
