Start time (UTC), 1035 
 Sky conditions, CO-SDNV to CO-SDV 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.51269
 Ship longitude, 2.39455
Position, 1A, 1B,  2,  3,  4, 5A,  6,  7
Surface type, S, P, P, P, P, S, P, S
Surface thickness (cm),  NaN,  NaN, 17.5,  7.5, 24.0,  NaN, 16.0,  3.0
Notes, 14cm snow/SSL. NOTE: incident scan bad/lost? u..., area shoveled 1 week prior - ~1cm water on sur...,                15-20 cm. porous sedimented bottom,                             6-9 cm. bubbly bottom,                   less deep over white band/crack,                                    SSL clean area,                                             16 cm,                                  drained pond SSL
Change in incident (%),350.0, 40.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
688,,0.392,0.233,0.230,0.269,0.679,0.315,0.585
689,,0.390,0.232,0.229,0.268,0.679,0.313,0.584
690,,0.389,0.231,0.228,0.266,0.678,0.312,0.583
691,,0.388,0.230,0.227,0.264,0.677,0.310,0.582
692,,0.387,0.229,0.226,0.262,0.677,0.308,0.581
693,,0.386,0.228,0.225,0.261,0.676,0.306,0.580
694,,0.385,0.227,0.224,0.258,0.675,0.304,0.579
695,,0.383,0.225,0.222,0.256,0.674,0.302,0.577
696,,0.382,0.224,0.221,0.254,0.674,0.300,0.576
697,,0.380,0.223,0.220,0.252,0.673,0.298,0.575
698,,0.379,0.221,0.218,0.250,0.672,0.296,0.574
699,,0.377,0.220,0.216,0.247,0.671,0.294,0.572
700,,0.375,0.218,0.215,0.245,0.670,0.291,0.571
701,,0.374,0.216,0.213,0.242,0.669,0.289,0.570
702,,0.372,0.215,0.211,0.240,0.668,0.287,0.568
703,,0.370,0.213,0.210,0.238,0.667,0.284,0.567
704,,0.368,0.212,0.208,0.235,0.666,0.282,0.566
705,,0.366,0.210,0.206,0.233,0.665,0.279,0.564
706,,0.364,0.208,0.204,0.230,0.664,0.277,0.563
707,,0.363,0.207,0.203,0.228,0.663,0.275,0.561
708,,0.361,0.205,0.201,0.225,0.662,0.272,0.560
709,,0.359,0.203,0.199,0.222,0.661,0.270,0.559
710,,0.357,0.201,0.197,0.219,0.660,0.267,0.558
711,,0.355,0.200,0.195,0.217,0.659,0.265,0.556
712,,0.353,0.198,0.193,0.214,0.658,0.262,0.555
713,,0.350,0.196,0.191,0.211,0.657,0.259,0.553
714,,0.348,0.194,0.189,0.208,0.656,0.257,0.552
715,,0.346,0.192,0.187,0.205,0.655,0.254,0.551
716,,0.344,0.190,0.185,0.201,0.654,0.251,0.549
717,,0.341,0.187,0.183,0.198,0.652,0.249,0.547
718,,0.338,0.185,0.180,0.195,0.650,0.246,0.545
719,,0.336,0.183,0.178,0.191,0.649,0.243,0.544
720,,0.333,0.181,0.176,0.188,0.649,0.240,0.542
721,,0.331,0.179,0.174,0.185,0.648,0.237,0.542
722,,0.329,0.178,0.172,0.182,0.648,0.235,0.541
723,,0.327,0.176,0.170,0.180,0.647,0.233,0.540
724,,0.324,0.174,0.168,0.176,0.645,0.230,0.538
725,,0.321,0.172,0.166,0.173,0.644,0.227,0.537
726,,0.318,0.170,0.164,0.170,0.643,0.224,0.535
727,,0.316,0.168,0.161,0.167,0.642,0.222,0.534
728,,0.313,0.165,0.159,0.163,0.641,0.219,0.533
729,,0.309,0.163,0.156,0.160,0.640,0.216,0.531
730,,0.306,0.161,0.154,0.156,0.639,0.212,0.530
731,,0.303,0.159,0.151,0.152,0.638,0.209,0.528
732,,0.300,0.157,0.149,0.149,0.637,0.207,0.527
733,,0.297,0.155,0.147,0.146,0.636,0.204,0.526
734,,0.295,0.154,0.145,0.144,0.635,0.202,0.525
735,,0.292,0.152,0.143,0.142,0.634,0.200,0.524
736,,0.290,0.151,0.142,0.140,0.633,0.198,0.523
737,,0.288,0.150,0.141,0.138,0.632,0.197,0.522
738,,0.287,0.149,0.140,0.137,0.632,0.195,0.521
739,,0.286,0.149,0.139,0.136,0.631,0.194,0.520
740,,0.285,0.148,0.138,0.135,0.630,0.193,0.519
741,,0.284,0.148,0.137,0.135,0.630,0.193,0.518
742,,0.283,0.147,0.137,0.134,0.629,0.192,0.518
743,,0.282,0.147,0.137,0.133,0.628,0.191,0.517
744,,0.281,0.146,0.136,0.133,0.627,0.191,0.516
745,,0.280,0.146,0.135,0.132,0.626,0.190,0.515
746,,0.280,0.146,0.135,0.132,0.625,0.189,0.514
747,,0.279,0.145,0.134,0.131,0.624,0.189,0.513
748,,0.278,0.145,0.134,0.131,0.624,0.188,0.512
749,,0.277,0.144,0.133,0.130,0.623,0.187,0.511
750,,0.276,0.144,0.133,0.130,0.622,0.187,0.510
751,,0.275,0.144,0.132,0.129,0.621,0.186,0.509
752,,0.274,0.143,0.132,0.129,0.620,0.185,0.508
753,,0.273,0.143,0.131,0.128,0.618,0.184,0.507
754,,0.272,0.142,0.131,0.127,0.617,0.184,0.506
755,,0.271,0.142,0.130,0.127,0.616,0.183,0.504
756,,0.270,0.142,0.130,0.127,0.615,0.182,0.503
757,,0.270,0.141,0.129,0.126,0.614,0.181,0.502
758,,0.269,0.141,0.129,0.126,0.612,0.181,0.501
759,,0.268,0.141,0.128,0.125,0.611,0.180,0.500
760,,0.267,0.140,0.128,0.125,0.609,0.180,0.498
761,,0.265,0.139,0.127,0.123,0.606,0.179,0.495
762,,0.264,0.139,0.127,0.123,0.604,0.178,0.493
763,,0.263,0.138,0.126,0.122,0.602,0.177,0.492
764,,0.261,0.137,0.125,0.122,0.601,0.176,0.490
765,,0.261,0.137,0.125,0.121,0.600,0.175,0.489
766,,0.260,0.137,0.125,0.121,0.600,0.175,0.489
767,,0.259,0.137,0.125,0.121,0.599,0.174,0.488
768,,0.259,0.137,0.124,0.121,0.598,0.174,0.486
769,,0.258,0.137,0.124,0.121,0.597,0.173,0.485
770,,0.257,0.137,0.123,0.121,0.596,0.173,0.484
771,,0.256,0.136,0.123,0.120,0.594,0.172,0.483
772,,0.255,0.136,0.123,0.120,0.593,0.172,0.481
773,,0.254,0.136,0.122,0.120,0.592,0.171,0.480
774,,0.253,0.135,0.122,0.119,0.590,0.171,0.479
775,,0.253,0.135,0.122,0.119,0.589,0.170,0.477
776,,0.252,0.135,0.121,0.119,0.588,0.169,0.476
777,,0.251,0.134,0.121,0.119,0.586,0.169,0.474
778,,0.250,0.134,0.121,0.118,0.585,0.168,0.473
779,,0.250,0.134,0.120,0.118,0.584,0.168,0.472
780,,0.249,0.134,0.120,0.118,0.583,0.168,0.471
781,,0.248,0.134,0.120,0.118,0.581,0.167,0.469
782,,0.248,0.133,0.120,0.118,0.580,0.167,0.468
783,,0.247,0.133,0.120,0.118,0.579,0.166,0.467
784,,0.247,0.133,0.119,0.118,0.578,0.166,0.466
785,,0.246,0.133,0.119,0.118,0.577,0.166,0.465
786,,0.245,0.133,0.119,0.118,0.576,0.165,0.464
787,,0.245,0.133,0.119,0.117,0.575,0.165,0.463
788,,0.245,0.133,0.119,0.117,0.574,0.165,0.462
789,,0.244,0.132,0.119,0.117,0.573,0.165,0.461
790,,0.244,0.132,0.118,0.118,0.572,0.165,0.460
791,,0.244,0.132,0.118,0.118,0.571,0.164,0.459
792,,0.244,0.132,0.118,0.118,0.570,0.164,0.459
793,,0.244,0.132,0.118,0.118,0.570,0.164,0.458
794,,0.243,0.132,0.118,0.118,0.569,0.164,0.457
795,,0.243,0.132,0.118,0.118,0.569,0.164,0.457
796,,0.243,0.132,0.118,0.118,0.568,0.164,0.456
797,,0.243,0.132,0.118,0.118,0.568,0.164,0.456
798,,0.243,0.133,0.119,0.119,0.567,0.164,0.455
799,,0.243,0.133,0.119,0.119,0.567,0.164,0.455
800,,0.244,0.132,0.119,0.118,0.570,0.164,0.458
801,,0.244,0.132,0.119,0.118,0.570,0.164,0.458
802,,0.243,0.132,0.119,0.118,0.569,0.164,0.457
803,,0.243,0.132,0.119,0.118,0.569,0.164,0.457
804,,0.243,0.132,0.119,0.118,0.568,0.164,0.456
805,,0.243,0.133,0.119,0.119,0.568,0.164,0.456
806,,0.243,0.133,0.119,0.119,0.567,0.164,0.455
807,,0.243,0.133,0.119,0.119,0.567,0.164,0.455
808,,0.243,0.133,0.119,0.119,0.567,0.164,0.455
809,,0.243,0.133,0.119,0.119,0.567,0.164,0.454
810,,0.243,0.133,0.119,0.119,0.566,0.164,0.454
811,,0.243,0.133,0.119,0.119,0.566,0.164,0.454
812,,0.243,0.133,0.119,0.119,0.566,0.164,0.454
813,,0.243,0.133,0.119,0.120,0.566,0.164,0.454
814,,0.243,0.133,0.119,0.120,0.566,0.164,0.454
815,,0.243,0.133,0.119,0.120,0.565,0.164,0.454
816,,0.243,0.133,0.119,0.120,0.565,0.164,0.453
817,,0.243,0.133,0.119,0.119,0.565,0.164,0.453
818,,0.243,0.133,0.119,0.119,0.565,0.164,0.453
819,,0.243,0.133,0.119,0.119,0.565,0.164,0.453
820,,0.243,0.133,0.119,0.119,0.565,0.164,0.453
821,,0.243,0.133,0.119,0.119,0.565,0.164,0.453
822,,0.243,0.132,0.119,0.119,0.565,0.164,0.453
823,,0.243,0.132,0.119,0.119,0.565,0.164,0.454
824,,0.243,0.132,0.118,0.118,0.565,0.164,0.454
825,,0.242,0.132,0.118,0.118,0.565,0.163,0.454
826,,0.242,0.132,0.118,0.118,0.565,0.163,0.454
827,,0.242,0.132,0.118,0.117,0.565,0.163,0.454
828,,0.241,0.131,0.117,0.117,0.565,0.163,0.454
829,,0.241,0.131,0.117,0.116,0.565,0.162,0.454
830,,0.240,0.131,0.117,0.115,0.565,0.162,0.454
831,,0.239,0.130,0.116,0.115,0.565,0.162,0.454
832,,0.239,0.130,0.116,0.114,0.565,0.161,0.454
833,,0.238,0.130,0.115,0.113,0.565,0.161,0.454
834,,0.237,0.129,0.115,0.112,0.565,0.160,0.454
835,,0.236,0.129,0.114,0.111,0.564,0.160,0.453
836,,0.235,0.128,0.114,0.110,0.564,0.159,0.453
837,,0.234,0.128,0.113,0.110,0.564,0.159,0.453
838,,0.233,0.128,0.112,0.109,0.564,0.158,0.453
839,,0.232,0.127,0.112,0.108,0.563,0.157,0.452
840,,0.231,0.127,0.111,0.107,0.563,0.157,0.452
841,,0.230,0.126,0.111,0.106,0.562,0.156,0.452
842,,0.229,0.126,0.110,0.106,0.562,0.156,0.451
843,,0.229,0.126,0.110,0.105,0.562,0.155,0.451
844,,0.228,0.125,0.109,0.105,0.561,0.155,0.450
845,,0.227,0.125,0.109,0.104,0.560,0.155,0.450
846,,0.226,0.125,0.109,0.104,0.560,0.154,0.449
847,,0.225,0.125,0.108,0.103,0.559,0.154,0.449
848,,0.225,0.124,0.108,0.103,0.558,0.153,0.448
849,,0.224,0.124,0.108,0.102,0.558,0.153,0.447
850,,0.223,0.124,0.107,0.102,0.557,0.152,0.446
851,,0.222,0.123,0.107,0.101,0.556,0.152,0.446
852,,0.221,0.123,0.107,0.101,0.555,0.152,0.445
853,,0.220,0.123,0.106,0.101,0.554,0.151,0.444
854,,0.219,0.123,0.106,0.100,0.553,0.151,0.443
855,,0.219,0.122,0.105,0.100,0.552,0.150,0.442
856,,0.218,0.122,0.105,0.099,0.550,0.150,0.440
857,,0.217,0.122,0.105,0.099,0.549,0.149,0.439
858,,0.215,0.121,0.104,0.098,0.548,0.149,0.438
859,,0.214,0.121,0.104,0.098,0.546,0.148,0.436
860,,0.213,0.121,0.103,0.097,0.545,0.148,0.435
861,,0.212,0.120,0.103,0.097,0.543,0.147,0.433
862,,0.211,0.120,0.103,0.097,0.541,0.146,0.432
863,,0.210,0.120,0.102,0.096,0.540,0.146,0.430
864,,0.209,0.119,0.102,0.096,0.538,0.145,0.429
865,,0.208,0.119,0.101,0.095,0.537,0.145,0.427
866,,0.207,0.119,0.101,0.095,0.535,0.144,0.425
867,,0.206,0.118,0.101,0.094,0.533,0.144,0.424
868,,0.204,0.118,0.100,0.094,0.531,0.143,0.422
869,,0.203,0.118,0.100,0.094,0.529,0.143,0.420
870,,0.202,0.117,0.099,0.093,0.528,0.142,0.418
871,,0.201,0.117,0.099,0.093,0.526,0.141,0.416
872,,0.200,0.116,0.098,0.092,0.524,0.141,0.415
873,,0.198,0.116,0.098,0.092,0.522,0.140,0.413
874,,0.197,0.116,0.098,0.091,0.520,0.140,0.411
875,,0.196,0.115,0.097,0.091,0.518,0.139,0.409
876,,0.195,0.115,0.097,0.091,0.516,0.139,0.407
877,,0.194,0.115,0.096,0.090,0.514,0.138,0.405
878,,0.192,0.114,0.096,0.090,0.512,0.138,0.403
879,,0.191,0.114,0.096,0.089,0.510,0.137,0.401
880,,0.190,0.114,0.095,0.089,0.508,0.136,0.399
881,,0.189,0.113,0.095,0.089,0.506,0.136,0.397
882,,0.188,0.113,0.094,0.088,0.504,0.135,0.395
883,,0.186,0.112,0.094,0.088,0.502,0.135,0.394
884,,0.185,0.112,0.094,0.088,0.500,0.134,0.392
885,,0.184,0.112,0.093,0.087,0.498,0.134,0.390
886,,0.183,0.111,0.093,0.087,0.496,0.133,0.388
887,,0.182,0.111,0.093,0.086,0.494,0.133,0.386
888,,0.181,0.111,0.092,0.086,0.492,0.132,0.384
889,,0.180,0.110,0.092,0.086,0.490,0.132,0.383
890,,0.179,0.110,0.092,0.085,0.488,0.131,0.381
891,,0.178,0.110,0.091,0.085,0.486,0.131,0.379
892,,0.177,0.109,0.091,0.085,0.485,0.130,0.378
893,,0.176,0.109,0.091,0.084,0.483,0.130,0.376
894,,0.175,0.109,0.090,0.084,0.481,0.130,0.375
895,,0.174,0.108,0.090,0.084,0.480,0.129,0.373
896,,0.173,0.108,0.090,0.084,0.478,0.129,0.372
897,,0.173,0.108,0.090,0.083,0.477,0.128,0.370
898,,0.172,0.108,0.089,0.083,0.475,0.128,0.369
899,,0.171,0.107,0.089,0.083,0.474,0.128,0.368
900,,0.170,0.107,0.089,0.083,0.472,0.127,0.367
901,,0.170,0.107,0.089,0.082,0.471,0.127,0.365
902,,0.169,0.107,0.088,0.082,0.470,0.127,0.364
903,,0.168,0.106,0.088,0.082,0.468,0.127,0.363
904,,0.168,0.106,0.088,0.082,0.467,0.126,0.362
905,,0.167,0.106,0.088,0.082,0.466,0.126,0.362
906,,0.167,0.106,0.088,0.081,0.465,0.126,0.361
907,,0.166,0.106,0.088,0.081,0.464,0.126,0.360
908,,0.166,0.106,0.087,0.081,0.463,0.125,0.359
909,,0.165,0.105,0.087,0.081,0.463,0.125,0.358
910,,0.165,0.105,0.087,0.081,0.462,0.125,0.358
911,,0.164,0.105,0.087,0.081,0.461,0.125,0.357
912,,0.164,0.105,0.087,0.080,0.460,0.125,0.356
913,,0.163,0.105,0.087,0.080,0.459,0.125,0.356
914,,0.163,0.105,0.087,0.080,0.459,0.124,0.355
915,,0.163,0.105,0.086,0.080,0.458,0.124,0.355
916,,0.162,0.105,0.086,0.080,0.458,0.124,0.354
917,,0.162,0.105,0.086,0.080,0.457,0.124,0.354
918,,0.161,0.105,0.086,0.079,0.456,0.124,0.353
919,,0.161,0.105,0.086,0.079,0.456,0.124,0.353
920,,0.161,0.104,0.086,0.079,0.455,0.124,0.352
921,,0.160,0.104,0.086,0.079,0.455,0.124,0.352
922,,0.160,0.104,0.086,0.079,0.454,0.123,0.351
923,,0.159,0.104,0.085,0.079,0.453,0.123,0.351
924,,0.159,0.104,0.085,0.078,0.453,0.123,0.351
925,,0.158,0.104,0.085,0.078,0.452,0.123,0.350
926,,0.158,0.104,0.085,0.078,0.451,0.123,0.350
927,,0.157,0.104,0.085,0.078,0.451,0.123,0.349
928,,0.157,0.104,0.085,0.078,0.450,0.122,0.349
929,,0.157,0.103,0.085,0.078,0.449,0.122,0.348
930,,0.156,0.103,0.084,0.078,0.449,0.122,0.348
931,,0.156,0.103,0.084,0.078,0.448,0.122,0.347
932,,0.156,0.103,0.084,0.077,0.447,0.122,0.347
933,,0.155,0.103,0.085,0.078,0.446,0.122,0.347
934,,0.155,0.103,0.085,0.078,0.445,0.123,0.347
935,,0.155,0.103,0.085,0.078,0.445,0.123,0.346
936,,0.155,0.103,0.085,0.078,0.444,0.123,0.346
937,,0.154,0.103,0.085,0.078,0.443,0.123,0.345
938,,0.154,0.102,0.085,0.078,0.442,0.123,0.345
939,,0.153,0.102,0.085,0.078,0.441,0.123,0.344
940,,0.153,0.102,0.085,0.078,0.440,0.123,0.343
941,,0.153,0.102,0.085,0.078,0.438,0.123,0.342
942,,0.152,0.102,0.085,0.078,0.437,0.123,0.342
943,,0.152,0.102,0.085,0.078,0.436,0.124,0.341
944,,0.151,0.102,0.085,0.078,0.435,0.124,0.340
945,,0.150,0.102,0.085,0.078,0.433,0.123,0.339
946,,0.149,0.102,0.085,0.078,0.431,0.123,0.338
947,,0.148,0.101,0.084,0.077,0.429,0.123,0.337
948,,0.147,0.101,0.084,0.077,0.427,0.123,0.335
949,,0.146,0.101,0.083,0.077,0.425,0.122,0.334
950,,0.145,0.100,0.083,0.076,0.423,0.121,0.332
951,,0.144,0.100,0.082,0.076,0.421,0.120,0.331
952,,0.142,0.100,0.082,0.076,0.418,0.120,0.329
953,,0.141,0.099,0.082,0.076,0.416,0.120,0.328
954,,0.140,0.099,0.082,0.075,0.414,0.119,0.326
955,,0.139,0.098,0.082,0.075,0.411,0.119,0.324
956,,0.138,0.098,0.081,0.075,0.409,0.118,0.323
957,,0.137,0.098,0.081,0.075,0.406,0.118,0.321
958,,0.136,0.097,0.080,0.075,0.403,0.117,0.319
959,,0.136,0.097,0.080,0.075,0.401,0.116,0.317
960,,0.135,0.096,0.080,0.075,0.398,0.116,0.315
961,,0.134,0.096,0.080,0.075,0.396,0.115,0.313
962,,0.133,0.096,0.079,0.075,0.393,0.115,0.311
963,,0.132,0.096,0.079,0.074,0.390,0.114,0.309
964,,0.131,0.095,0.079,0.074,0.387,0.113,0.306
965,,0.130,0.095,0.079,0.074,0.384,0.113,0.304
966,,0.130,0.095,0.079,0.074,0.381,0.113,0.302
967,,0.129,0.095,0.078,0.074,0.379,0.112,0.300
968,,0.128,0.094,0.078,0.073,0.376,0.111,0.298
969,,0.127,0.094,0.078,0.073,0.373,0.111,0.296
970,,0.126,0.094,0.077,0.073,0.370,0.110,0.294
971,,0.125,0.093,0.077,0.073,0.368,0.109,0.292
972,,0.124,0.093,0.076,0.073,0.366,0.109,0.290
973,,0.123,0.092,0.076,0.072,0.363,0.108,0.287
974,,0.122,0.092,0.075,0.072,0.361,0.108,0.285
975,,0.121,0.092,0.075,0.071,0.358,0.107,0.283
976,,0.121,0.092,0.075,0.071,0.356,0.107,0.281
977,,0.120,0.091,0.075,0.071,0.354,0.106,0.279
978,,0.119,0.091,0.074,0.071,0.352,0.106,0.276
979,,0.118,0.091,0.074,0.071,0.349,0.105,0.274
980,,0.117,0.090,0.074,0.071,0.347,0.105,0.272
981,,0.116,0.090,0.074,0.071,0.345,0.104,0.270
982,,0.116,0.089,0.073,0.070,0.342,0.104,0.268
983,,0.115,0.089,0.073,0.070,0.340,0.103,0.266
984,,0.114,0.089,0.073,0.070,0.338,0.103,0.264
985,,0.113,0.089,0.073,0.070,0.336,0.102,0.262
986,,0.113,0.088,0.072,0.070,0.333,0.102,0.260
987,,0.112,0.088,0.072,0.069,0.331,0.102,0.258
988,,0.112,0.088,0.072,0.069,0.329,0.102,0.255
989,,0.111,0.088,0.072,0.069,0.327,0.101,0.254
990,,0.110,0.088,0.072,0.069,0.324,0.101,0.252
991,,0.110,0.087,0.072,0.069,0.322,0.100,0.250
992,,0.109,0.087,0.072,0.068,0.320,0.099,0.248
993,,0.108,0.087,0.071,0.068,0.318,0.099,0.246
994,,0.108,0.087,0.071,0.068,0.315,0.099,0.244
995,,0.107,0.086,0.071,0.068,0.313,0.098,0.241
996,,0.107,0.086,0.071,0.067,0.311,0.097,0.240
997,,0.106,0.086,0.071,0.067,0.309,0.097,0.238
998,,0.106,0.086,0.071,0.067,0.307,0.097,0.236
999,,0.105,0.085,0.070,0.067,0.305,0.096,0.234
1000,,0.105,0.085,0.071,0.068,0.304,0.097,0.234
1001,,0.105,0.085,0.070,0.068,0.303,0.097,0.233
1002,,0.105,0.085,0.070,0.068,0.301,0.096,0.231
1003,,0.104,0.084,0.070,0.068,0.299,0.096,0.230
1004,,0.104,0.084,0.070,0.067,0.298,0.095,0.228
1005,,0.104,0.084,0.069,0.067,0.296,0.095,0.227
1006,,0.103,0.083,0.069,0.067,0.295,0.095,0.225
1007,,0.103,0.083,0.069,0.067,0.293,0.095,0.224
1008,,0.103,0.082,0.069,0.067,0.292,0.095,0.222
1009,,0.102,0.082,0.069,0.067,0.290,0.094,0.221
1010,,0.102,0.082,0.069,0.067,0.289,0.094,0.220
1011,,0.102,0.081,0.069,0.067,0.288,0.094,0.219
1012,,0.101,0.081,0.069,0.067,0.287,0.094,0.218
1013,,0.101,0.081,0.069,0.067,0.286,0.093,0.217
1014,,0.101,0.081,0.069,0.067,0.285,0.093,0.216
1015,,0.100,0.080,0.069,0.066,0.282,0.092,0.214
1016,,0.099,0.080,0.069,0.066,0.281,0.092,0.212
1017,,0.099,0.080,0.069,0.066,0.280,0.092,0.211
1018,,0.098,0.080,0.069,0.066,0.279,0.092,0.210
1019,,0.098,0.079,0.069,0.066,0.278,0.091,0.209
1020,,0.097,0.079,0.069,0.066,0.277,0.091,0.208
1021,,0.097,0.079,0.068,0.066,0.276,0.091,0.207
1022,,0.097,0.079,0.068,0.066,0.275,0.091,0.207
1023,,0.097,0.079,0.068,0.066,0.275,0.091,0.206
1024,,0.096,0.079,0.068,0.066,0.274,0.091,0.206
1025,,0.097,0.079,0.067,0.066,0.273,0.090,0.205
1026,,0.097,0.079,0.067,0.066,0.273,0.090,0.204
1027,,0.097,0.079,0.067,0.066,0.272,0.090,0.204
1028,,0.097,0.079,0.066,0.066,0.272,0.090,0.204
1029,,0.097,0.078,0.066,0.066,0.271,0.090,0.203
1030,,0.097,0.078,0.066,0.066,0.271,0.089,0.203
1031,,0.097,0.078,0.066,0.066,0.271,0.089,0.203
1032,,0.097,0.078,0.066,0.066,0.271,0.089,0.203
1033,,0.097,0.078,0.066,0.066,0.271,0.089,0.203
1034,,0.097,0.078,0.066,0.067,0.271,0.089,0.203
1035,,0.097,0.078,0.066,0.067,0.271,0.089,0.203
1036,,0.097,0.078,0.066,0.067,0.271,0.089,0.203
1037,,0.097,0.078,0.066,0.067,0.272,0.089,0.203
1038,,0.098,0.078,0.066,0.067,0.272,0.088,0.203
1039,,0.098,0.078,0.066,0.067,0.273,0.088,0.204
1040,,0.098,0.078,0.066,0.067,0.274,0.089,0.204
1041,,0.098,0.078,0.066,0.067,0.274,0.089,0.205
1042,,0.098,0.078,0.066,0.067,0.275,0.089,0.205
1043,,0.098,0.079,0.066,0.067,0.276,0.090,0.206
1044,,0.099,0.079,0.067,0.067,0.276,0.090,0.206
1045,,0.099,0.079,0.067,0.067,0.277,0.090,0.207
1046,,0.099,0.080,0.067,0.068,0.278,0.091,0.208
1047,,0.099,0.080,0.067,0.068,0.279,0.091,0.208
1048,,0.100,0.080,0.067,0.068,0.281,0.091,0.209
1049,,0.100,0.081,0.068,0.068,0.282,0.091,0.210
1050,,0.101,0.081,0.068,0.068,0.283,0.092,0.211
1051,,0.101,0.081,0.068,0.068,0.285,0.092,0.212
1052,,0.102,0.081,0.068,0.069,0.286,0.093,0.213
1053,,0.102,0.082,0.068,0.069,0.287,0.093,0.214
1054,,0.102,0.082,0.068,0.069,0.289,0.094,0.215
1055,,0.103,0.082,0.068,0.069,0.291,0.094,0.217
1056,,0.103,0.083,0.069,0.069,0.292,0.094,0.218
1057,,0.104,0.083,0.069,0.069,0.294,0.095,0.219
1058,,0.104,0.083,0.069,0.070,0.296,0.095,0.220
1059,,0.105,0.084,0.070,0.070,0.298,0.095,0.222
1060,,0.105,0.084,0.070,0.070,0.300,0.095,0.223
1061,,0.106,0.084,0.070,0.070,0.301,0.096,0.225
1062,,0.106,0.084,0.071,0.070,0.303,0.096,0.226
1063,,0.107,0.084,0.071,0.070,0.305,0.096,0.228
1064,,0.108,0.084,0.071,0.070,0.307,0.097,0.229
1065,,0.108,0.085,0.071,0.070,0.309,0.097,0.231
1066,,0.109,0.085,0.072,0.070,0.311,0.097,0.232
1067,,0.109,0.085,0.072,0.070,0.313,0.097,0.234
1068,,0.110,0.085,0.072,0.070,0.314,0.097,0.235
1069,,0.111,0.085,0.072,0.070,0.316,0.098,0.237
1070,,0.111,0.086,0.072,0.070,0.318,0.098,0.238
1071,,0.112,0.086,0.073,0.070,0.320,0.098,0.240
1072,,0.113,0.086,0.073,0.070,0.322,0.098,0.241
1073,,0.113,0.086,0.073,0.070,0.323,0.099,0.242
1074,,0.114,0.086,0.073,0.070,0.325,0.099,0.243
1075,,0.114,0.086,0.073,0.070,0.327,0.099,0.244
1076,,0.114,0.086,0.073,0.070,0.328,0.099,0.246
1077,,0.115,0.086,0.073,0.070,0.330,0.099,0.247
1078,,0.115,0.086,0.073,0.070,0.331,0.099,0.248
1079,,0.115,0.087,0.073,0.070,0.332,0.099,0.249
1080,,0.115,0.087,0.073,0.070,0.334,0.100,0.249
1081,,0.116,0.087,0.073,0.070,0.335,0.100,0.250
1082,,0.116,0.087,0.073,0.070,0.336,0.100,0.251
1083,,0.116,0.087,0.073,0.070,0.337,0.100,0.251
1084,,0.116,0.087,0.073,0.070,0.337,0.100,0.252
1085,,0.116,0.088,0.073,0.070,0.338,0.100,0.253
1086,,0.116,0.088,0.073,0.070,0.339,0.101,0.253
1087,,0.116,0.088,0.073,0.070,0.339,0.101,0.253
1088,,0.116,0.088,0.073,0.070,0.340,0.101,0.254
1089,,0.116,0.088,0.073,0.070,0.340,0.101,0.254
1090,,0.117,0.088,0.073,0.070,0.340,0.101,0.254
1091,,0.117,0.088,0.073,0.070,0.341,0.101,0.255
1092,,0.117,0.088,0.073,0.070,0.341,0.101,0.255
1093,,0.117,0.088,0.073,0.069,0.341,0.101,0.255
1094,,0.117,0.088,0.073,0.069,0.340,0.101,0.255
1095,,0.117,0.087,0.073,0.069,0.340,0.101,0.254
1096,,0.117,0.087,0.073,0.069,0.340,0.101,0.254
1097,,0.117,0.087,0.073,0.069,0.340,0.101,0.254
1098,,0.117,0.087,0.073,0.069,0.339,0.101,0.254
1099,,0.116,0.087,0.073,0.069,0.339,0.101,0.254
1100,,0.116,0.087,0.072,0.069,0.338,0.101,0.254
1101,,0.116,0.086,0.072,0.069,0.338,0.101,0.253
1102,,0.116,0.086,0.072,0.069,0.337,0.101,0.253
1103,,0.115,0.086,0.072,0.069,0.336,0.101,0.252
1104,,0.115,0.086,0.072,0.069,0.335,0.101,0.251
1105,,0.115,0.086,0.072,0.069,0.334,0.101,0.251
1106,,0.115,0.086,0.072,0.069,0.333,0.100,0.250
1107,,0.114,0.086,0.072,0.069,0.333,0.100,0.249
1108,,0.114,0.085,0.072,0.069,0.332,0.100,0.249
