Start time (UTC), 1229 
 Sky conditions, sunny to foggy/sdv around 25 to nsdv at 40 
 Other notes, Melinda & Felix. Ponds refrozen with scant dusting of snow; SDV.  
 Ship latitude, 87.7816
 Ship longitude, 104.49022
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type,               s,               s,               s,               s,               s, frozenover pond,               s,               p,               p,               s,               s,               s,               s
Surface thickness (cm),  6,  6,  5,  5,  6,  0,  6, 37, 37,  7, 10,  5,  8
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),30.0, 20.0, 20.0, 30.0, 10.0, 30.0, 20.0, 20.0, 10.0, 10.0, 0.0, 0.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
425,,,,,,,0.892,0.239,0.235,0.847,0.874,0.909,0.901
426,,,,,,,0.892,0.239,0.236,0.847,0.875,0.909,0.901
427,,,,,,,0.892,0.239,0.236,0.847,0.875,0.910,0.902
428,,,,,,,0.893,0.239,0.236,0.847,0.874,0.910,0.902
429,,,,,,,0.893,0.239,0.236,0.847,0.874,0.910,0.902
430,,,,,,,0.893,0.240,0.236,0.847,0.875,0.910,0.902
431,,,,,,,0.893,0.240,0.236,0.848,0.875,0.911,0.902
432,,,,,,,0.893,0.240,0.236,0.848,0.875,0.911,0.902
433,,,,,,,0.894,0.240,0.236,0.848,0.874,0.911,0.902
434,,,,,,,0.894,0.240,0.236,0.848,0.875,0.911,0.902
435,,,,,,,0.894,0.240,0.236,0.848,0.875,0.911,0.902
436,,,,,,,0.893,0.240,0.236,0.848,0.875,0.911,0.902
437,,,,,,,0.894,0.240,0.236,0.848,0.874,0.912,0.902
438,,,,,,,0.894,0.240,0.236,0.848,0.875,0.912,0.902
439,,,,,,,0.894,0.240,0.236,0.848,0.875,0.912,0.902
440,,,,,,,0.894,0.240,0.236,0.848,0.875,0.912,0.902
441,,,,,,,0.894,0.240,0.236,0.848,0.875,0.912,0.902
442,,,,,,,0.894,0.240,0.236,0.848,0.875,0.912,0.902
443,,,,,,,0.894,0.240,0.236,0.848,0.875,0.913,0.902
444,,,,,,,0.895,0.240,0.236,0.848,0.875,0.913,0.902
445,,,,,,,0.895,0.240,0.236,0.849,0.875,0.913,0.902
446,,,,,,,0.895,0.241,0.236,0.849,0.875,0.913,0.903
447,,,,,,,0.895,0.241,0.236,0.849,0.875,0.914,0.903
448,,,,,,,0.895,0.241,0.236,0.849,0.875,0.914,0.903
449,,,,,,,0.895,0.241,0.236,0.849,0.875,0.914,0.903
450,,,,,,,0.895,0.241,0.236,0.849,0.875,0.914,0.903
451,,,,,,,0.896,0.241,0.236,0.849,0.875,0.914,0.903
452,,,,,,,0.896,0.241,0.236,0.849,0.875,0.914,0.903
453,,,,,,,0.896,0.241,0.236,0.849,0.875,0.915,0.903
454,,,,,,,0.896,0.241,0.236,0.849,0.875,0.915,0.903
455,,,,,,,0.896,0.241,0.236,0.849,0.875,0.915,0.903
456,,,,,,,0.896,0.241,0.236,0.850,0.875,0.915,0.903
457,,,,,,,0.896,0.241,0.236,0.850,0.875,0.916,0.903
458,,,,,,,0.896,0.242,0.236,0.850,0.875,0.916,0.903
459,,,,,,,0.897,0.242,0.236,0.850,0.875,0.916,0.903
460,,,,,,,0.897,0.242,0.236,0.850,0.875,0.916,0.903
461,,,,,,,0.897,0.242,0.236,0.850,0.875,0.916,0.903
462,,,,,,,0.897,0.242,0.236,0.850,0.875,0.916,0.903
463,,,,,,,0.897,0.242,0.236,0.850,0.875,0.917,0.903
464,,,,,,,0.897,0.242,0.236,0.850,0.875,0.917,0.904
465,,,,,,,0.897,0.242,0.236,0.850,0.875,0.917,0.904
466,,,,,,,0.897,0.242,0.236,0.850,0.875,0.917,0.904
467,,,,,,,0.898,0.242,0.237,0.850,0.875,0.918,0.904
468,,,,,,,0.898,0.242,0.237,0.850,0.875,0.918,0.904
469,,,,,,,0.898,0.242,0.237,0.850,0.875,0.918,0.904
470,,,,,,,0.898,0.242,0.237,0.850,0.875,0.918,0.904
471,,,,,,,0.898,0.242,0.237,0.850,0.875,0.918,0.904
472,,,,,,,0.898,0.242,0.237,0.851,0.875,0.918,0.904
473,,,,,,,0.898,0.242,0.236,0.851,0.875,0.919,0.904
474,,,,,,,0.898,0.242,0.236,0.851,0.875,0.919,0.904
475,,,,,,,0.898,0.242,0.236,0.851,0.875,0.919,0.904
476,,,,,,,0.898,0.243,0.236,0.851,0.875,0.919,0.904
