Start time (UTC), 0122 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.4458
 Ship longitude, 1.53678
Position,  3,  2, 1B, 1A,  4, 5A, 5B,  6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, Ian (ASD) Melinda (notes). Some locations shif...,                                               NaN,                                shoveled snow/pond,                              level untouched snow,                               pond w/ white crack,                                    untouched snow,                                         shoveled ,                                lovely little pond
Change in incident (%),0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
663,0.245,0.265,0.463,0.752,0.301,0.726,0.681,0.354
664,0.244,0.264,0.462,0.752,0.300,0.726,0.680,0.353
665,0.243,0.263,0.462,0.752,0.299,0.726,0.680,0.352
666,0.243,0.262,0.461,0.751,0.298,0.725,0.679,0.351
667,0.242,0.261,0.460,0.751,0.298,0.725,0.679,0.350
668,0.241,0.261,0.460,0.751,0.297,0.725,0.678,0.349
669,0.240,0.260,0.459,0.750,0.296,0.724,0.678,0.349
670,0.240,0.259,0.459,0.750,0.295,0.724,0.677,0.348
671,0.239,0.258,0.458,0.750,0.294,0.723,0.677,0.347
672,0.238,0.258,0.458,0.749,0.294,0.723,0.676,0.346
673,0.237,0.257,0.457,0.749,0.293,0.722,0.676,0.345
674,0.237,0.256,0.456,0.748,0.292,0.722,0.675,0.344
675,0.236,0.255,0.456,0.748,0.291,0.722,0.675,0.343
676,0.235,0.255,0.455,0.748,0.290,0.721,0.674,0.342
677,0.234,0.254,0.455,0.747,0.289,0.721,0.673,0.341
678,0.234,0.253,0.454,0.747,0.288,0.720,0.673,0.340
679,0.233,0.252,0.453,0.746,0.287,0.720,0.673,0.339
680,0.232,0.252,0.453,0.746,0.286,0.720,0.672,0.338
681,0.231,0.251,0.452,0.746,0.286,0.719,0.671,0.336
682,0.231,0.250,0.451,0.745,0.284,0.719,0.671,0.335
683,0.230,0.250,0.451,0.745,0.283,0.718,0.670,0.334
684,0.229,0.249,0.450,0.744,0.282,0.718,0.670,0.333
685,0.228,0.248,0.449,0.744,0.281,0.717,0.669,0.332
686,0.228,0.248,0.449,0.744,0.280,0.716,0.668,0.331
687,0.227,0.247,0.448,0.743,0.279,0.716,0.668,0.329
688,0.225,0.246,0.447,0.742,0.277,0.715,0.667,0.328
689,0.224,0.245,0.446,0.742,0.276,0.715,0.666,0.326
690,0.223,0.244,0.445,0.741,0.274,0.714,0.665,0.324
691,0.223,0.243,0.444,0.741,0.273,0.713,0.665,0.323
692,0.222,0.242,0.443,0.740,0.271,0.713,0.664,0.321
693,0.220,0.241,0.441,0.739,0.270,0.712,0.663,0.319
694,0.219,0.240,0.440,0.739,0.268,0.711,0.662,0.317
695,0.217,0.239,0.439,0.738,0.266,0.711,0.662,0.315
696,0.216,0.237,0.438,0.738,0.264,0.710,0.661,0.313
697,0.215,0.236,0.437,0.737,0.262,0.709,0.660,0.311
698,0.213,0.234,0.435,0.736,0.260,0.709,0.659,0.309
699,0.212,0.233,0.434,0.735,0.258,0.708,0.658,0.307
700,0.210,0.231,0.432,0.734,0.256,0.707,0.657,0.305
701,0.208,0.230,0.431,0.733,0.254,0.706,0.656,0.302
702,0.207,0.228,0.429,0.732,0.252,0.705,0.655,0.300
703,0.205,0.227,0.427,0.731,0.250,0.705,0.654,0.298
704,0.203,0.225,0.426,0.730,0.247,0.704,0.653,0.296
705,0.202,0.223,0.424,0.729,0.245,0.703,0.652,0.293
706,0.200,0.222,0.423,0.729,0.243,0.702,0.651,0.291
707,0.198,0.220,0.421,0.728,0.241,0.701,0.650,0.289
708,0.197,0.219,0.419,0.727,0.239,0.700,0.649,0.287
709,0.195,0.217,0.418,0.726,0.237,0.700,0.648,0.284
710,0.193,0.215,0.416,0.725,0.234,0.699,0.647,0.282
711,0.191,0.214,0.414,0.724,0.232,0.698,0.646,0.280
712,0.190,0.212,0.412,0.723,0.229,0.697,0.645,0.277
713,0.188,0.210,0.410,0.722,0.227,0.696,0.644,0.275
714,0.186,0.208,0.408,0.721,0.224,0.695,0.643,0.272
715,0.184,0.206,0.406,0.720,0.222,0.694,0.642,0.270
716,0.182,0.204,0.404,0.719,0.220,0.693,0.641,0.268
717,0.180,0.202,0.402,0.718,0.217,0.692,0.640,0.265
718,0.177,0.200,0.399,0.716,0.214,0.691,0.638,0.262
719,0.175,0.198,0.397,0.715,0.211,0.690,0.637,0.260
720,0.173,0.196,0.395,0.715,0.209,0.689,0.637,0.257
721,0.171,0.194,0.393,0.714,0.206,0.689,0.636,0.255
722,0.170,0.193,0.392,0.713,0.204,0.688,0.635,0.253
723,0.168,0.191,0.389,0.712,0.202,0.687,0.634,0.250
724,0.166,0.189,0.387,0.711,0.200,0.686,0.633,0.248
725,0.164,0.187,0.385,0.710,0.197,0.686,0.632,0.245
726,0.162,0.185,0.382,0.708,0.194,0.685,0.631,0.242
727,0.160,0.183,0.380,0.708,0.192,0.684,0.630,0.240
728,0.157,0.181,0.377,0.706,0.189,0.683,0.629,0.237
729,0.155,0.179,0.374,0.705,0.186,0.682,0.628,0.234
730,0.152,0.177,0.372,0.703,0.183,0.681,0.627,0.231
731,0.150,0.175,0.369,0.702,0.180,0.680,0.626,0.228
732,0.148,0.173,0.366,0.701,0.178,0.679,0.625,0.226
733,0.147,0.171,0.364,0.700,0.175,0.678,0.624,0.224
734,0.145,0.170,0.361,0.699,0.174,0.678,0.623,0.222
735,0.143,0.169,0.359,0.697,0.172,0.677,0.622,0.220
736,0.142,0.167,0.358,0.696,0.170,0.676,0.620,0.218
737,0.141,0.167,0.356,0.695,0.169,0.675,0.620,0.217
738,0.140,0.166,0.355,0.694,0.168,0.674,0.619,0.216
739,0.140,0.165,0.354,0.694,0.168,0.674,0.618,0.215
740,0.139,0.165,0.353,0.692,0.167,0.673,0.618,0.214
741,0.139,0.164,0.352,0.692,0.166,0.673,0.617,0.213
742,0.138,0.164,0.351,0.691,0.166,0.672,0.616,0.212
743,0.138,0.164,0.351,0.690,0.165,0.671,0.615,0.212
744,0.137,0.163,0.350,0.689,0.165,0.670,0.614,0.211
745,0.136,0.163,0.349,0.688,0.164,0.669,0.613,0.210
746,0.136,0.162,0.348,0.687,0.164,0.669,0.612,0.210
747,0.136,0.162,0.347,0.686,0.163,0.668,0.612,0.209
748,0.135,0.162,0.347,0.685,0.163,0.667,0.611,0.208
749,0.135,0.161,0.346,0.684,0.162,0.666,0.610,0.208
750,0.134,0.161,0.345,0.683,0.162,0.665,0.609,0.207
751,0.134,0.160,0.344,0.681,0.161,0.664,0.608,0.206
752,0.134,0.160,0.343,0.680,0.161,0.663,0.607,0.205
753,0.133,0.160,0.342,0.679,0.160,0.662,0.606,0.205
754,0.133,0.159,0.341,0.678,0.160,0.661,0.604,0.204
755,0.132,0.159,0.340,0.676,0.160,0.660,0.603,0.204
756,0.132,0.158,0.339,0.675,0.159,0.659,0.602,0.203
757,0.131,0.158,0.338,0.674,0.159,0.658,0.601,0.202
758,0.131,0.158,0.337,0.673,0.159,0.657,0.600,0.202
759,0.131,0.158,0.337,0.672,0.159,0.656,0.599,0.202
760,0.130,0.157,0.336,0.670,0.158,0.654,0.597,0.201
761,0.130,0.157,0.334,0.667,0.157,0.652,0.595,0.200
762,0.129,0.156,0.333,0.666,0.157,0.651,0.593,0.199
763,0.128,0.155,0.331,0.664,0.156,0.648,0.591,0.198
764,0.127,0.154,0.330,0.662,0.155,0.647,0.590,0.197
765,0.127,0.154,0.329,0.660,0.155,0.646,0.589,0.196
766,0.127,0.154,0.328,0.659,0.154,0.646,0.588,0.195
767,0.127,0.154,0.327,0.658,0.154,0.645,0.587,0.195
768,0.127,0.153,0.327,0.656,0.154,0.644,0.586,0.194
769,0.126,0.153,0.326,0.655,0.153,0.643,0.585,0.194
770,0.126,0.153,0.325,0.653,0.153,0.641,0.584,0.193
771,0.126,0.153,0.324,0.651,0.153,0.640,0.582,0.193
772,0.125,0.152,0.323,0.650,0.152,0.639,0.581,0.192
773,0.125,0.152,0.322,0.648,0.152,0.638,0.580,0.192
774,0.125,0.152,0.321,0.647,0.152,0.637,0.578,0.191
775,0.125,0.152,0.320,0.645,0.152,0.635,0.577,0.190
776,0.124,0.151,0.320,0.643,0.151,0.634,0.576,0.190
777,0.124,0.151,0.319,0.642,0.151,0.633,0.575,0.189
778,0.124,0.151,0.318,0.640,0.151,0.632,0.573,0.189
779,0.124,0.151,0.317,0.638,0.150,0.630,0.572,0.189
780,0.123,0.150,0.317,0.637,0.150,0.629,0.571,0.188
781,0.123,0.150,0.316,0.636,0.150,0.628,0.570,0.188
782,0.123,0.150,0.315,0.634,0.150,0.627,0.569,0.187
783,0.123,0.150,0.315,0.633,0.150,0.626,0.568,0.187
784,0.123,0.150,0.314,0.632,0.149,0.625,0.567,0.187
785,0.123,0.150,0.313,0.630,0.150,0.624,0.566,0.186
786,0.122,0.150,0.313,0.629,0.149,0.624,0.565,0.186
787,0.122,0.149,0.312,0.628,0.149,0.623,0.564,0.186
788,0.122,0.149,0.312,0.627,0.149,0.622,0.563,0.186
789,0.122,0.149,0.311,0.626,0.149,0.621,0.562,0.185
790,0.122,0.149,0.311,0.625,0.149,0.620,0.561,0.185
791,0.122,0.149,0.310,0.624,0.149,0.619,0.561,0.185
792,0.122,0.149,0.310,0.623,0.149,0.619,0.560,0.185
793,0.122,0.149,0.310,0.622,0.149,0.619,0.560,0.185
794,0.122,0.149,0.310,0.622,0.149,0.618,0.559,0.185
795,0.122,0.149,0.310,0.621,0.149,0.617,0.558,0.185
796,0.122,0.149,0.310,0.621,0.149,0.617,0.558,0.184
797,0.122,0.149,0.309,0.620,0.149,0.616,0.557,0.184
798,0.122,0.149,0.309,0.619,0.149,0.616,0.557,0.184
799,0.122,0.149,0.309,0.619,0.149,0.616,0.557,0.184
800,0.122,0.149,0.310,0.623,0.149,0.619,0.560,0.185
801,0.122,0.149,0.310,0.622,0.149,0.618,0.559,0.185
802,0.122,0.149,0.310,0.622,0.149,0.618,0.559,0.184
803,0.122,0.149,0.310,0.621,0.149,0.617,0.558,0.184
804,0.122,0.149,0.310,0.621,0.149,0.617,0.558,0.184
805,0.122,0.149,0.309,0.620,0.149,0.617,0.558,0.184
806,0.122,0.149,0.309,0.620,0.149,0.616,0.557,0.184
807,0.122,0.149,0.309,0.619,0.149,0.616,0.557,0.184
808,0.122,0.149,0.309,0.619,0.149,0.616,0.557,0.184
809,0.122,0.149,0.309,0.619,0.149,0.615,0.557,0.184
810,0.122,0.149,0.309,0.619,0.149,0.615,0.556,0.184
811,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
812,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
813,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
814,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
815,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
816,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
817,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
818,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
819,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
820,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
821,0.122,0.149,0.309,0.618,0.150,0.615,0.556,0.184
822,0.122,0.149,0.309,0.618,0.149,0.615,0.556,0.184
823,0.121,0.149,0.308,0.619,0.149,0.615,0.556,0.184
824,0.121,0.149,0.308,0.619,0.149,0.615,0.556,0.184
825,0.121,0.149,0.308,0.619,0.149,0.615,0.556,0.184
826,0.121,0.149,0.308,0.619,0.149,0.615,0.556,0.183
827,0.121,0.148,0.307,0.619,0.148,0.615,0.556,0.183
828,0.120,0.148,0.307,0.619,0.148,0.615,0.556,0.183
829,0.120,0.148,0.306,0.619,0.148,0.615,0.556,0.183
830,0.120,0.148,0.306,0.619,0.147,0.615,0.556,0.182
831,0.119,0.148,0.305,0.619,0.147,0.615,0.556,0.182
832,0.119,0.147,0.305,0.619,0.146,0.615,0.556,0.181
833,0.118,0.147,0.304,0.618,0.146,0.615,0.556,0.181
834,0.118,0.146,0.303,0.618,0.145,0.615,0.555,0.181
835,0.117,0.146,0.302,0.618,0.144,0.615,0.555,0.180
836,0.117,0.146,0.301,0.617,0.144,0.615,0.555,0.180
837,0.116,0.145,0.301,0.617,0.143,0.614,0.555,0.179
838,0.116,0.145,0.300,0.616,0.143,0.614,0.554,0.179
839,0.116,0.145,0.299,0.616,0.142,0.614,0.554,0.178
840,0.115,0.144,0.298,0.616,0.142,0.614,0.554,0.178
841,0.115,0.144,0.297,0.615,0.141,0.613,0.553,0.177
842,0.114,0.144,0.296,0.614,0.141,0.613,0.553,0.177
843,0.114,0.143,0.296,0.614,0.140,0.612,0.552,0.176
844,0.114,0.143,0.295,0.613,0.140,0.612,0.552,0.176
845,0.113,0.143,0.294,0.612,0.139,0.611,0.551,0.175
846,0.113,0.142,0.293,0.611,0.139,0.611,0.551,0.175
847,0.113,0.142,0.292,0.610,0.138,0.610,0.550,0.175
848,0.112,0.142,0.292,0.610,0.138,0.610,0.549,0.174
849,0.112,0.142,0.291,0.609,0.138,0.609,0.549,0.174
850,0.112,0.141,0.290,0.607,0.137,0.608,0.548,0.173
851,0.111,0.141,0.289,0.606,0.137,0.607,0.547,0.173
852,0.111,0.141,0.288,0.605,0.137,0.606,0.546,0.172
853,0.111,0.141,0.287,0.604,0.136,0.606,0.545,0.172
854,0.110,0.140,0.286,0.602,0.136,0.605,0.544,0.172
855,0.110,0.140,0.285,0.601,0.135,0.603,0.543,0.171
856,0.110,0.140,0.284,0.599,0.135,0.602,0.542,0.171
857,0.109,0.139,0.283,0.598,0.135,0.601,0.541,0.170
858,0.109,0.139,0.282,0.596,0.134,0.600,0.539,0.169
859,0.109,0.139,0.281,0.594,0.134,0.599,0.538,0.169
860,0.108,0.138,0.280,0.592,0.133,0.597,0.537,0.168
861,0.108,0.138,0.279,0.591,0.133,0.596,0.535,0.168
862,0.108,0.138,0.277,0.589,0.133,0.594,0.534,0.167
863,0.107,0.137,0.276,0.587,0.132,0.593,0.532,0.167
864,0.107,0.137,0.275,0.585,0.132,0.591,0.531,0.166
865,0.106,0.137,0.274,0.582,0.131,0.590,0.529,0.166
866,0.106,0.136,0.273,0.580,0.131,0.588,0.528,0.165
867,0.106,0.136,0.271,0.578,0.130,0.587,0.526,0.164
868,0.105,0.136,0.270,0.576,0.130,0.585,0.524,0.164
869,0.105,0.135,0.269,0.574,0.130,0.583,0.523,0.163
870,0.105,0.135,0.267,0.571,0.129,0.581,0.521,0.163
871,0.104,0.135,0.266,0.569,0.129,0.580,0.519,0.162
872,0.104,0.134,0.265,0.566,0.128,0.578,0.517,0.162
873,0.103,0.134,0.263,0.564,0.128,0.576,0.516,0.161
874,0.103,0.134,0.262,0.562,0.128,0.574,0.514,0.160
875,0.103,0.133,0.261,0.559,0.127,0.572,0.512,0.160
876,0.102,0.133,0.259,0.557,0.127,0.571,0.510,0.159
877,0.102,0.133,0.258,0.554,0.126,0.569,0.509,0.159
878,0.102,0.132,0.257,0.552,0.126,0.567,0.507,0.158
879,0.101,0.132,0.255,0.549,0.126,0.565,0.505,0.158
880,0.101,0.131,0.254,0.547,0.125,0.563,0.503,0.157
881,0.101,0.131,0.253,0.544,0.125,0.561,0.501,0.157
882,0.100,0.131,0.251,0.542,0.124,0.559,0.499,0.156
883,0.100,0.130,0.250,0.539,0.124,0.558,0.497,0.155
884,0.100,0.130,0.249,0.537,0.123,0.556,0.496,0.155
885,0.099,0.130,0.247,0.534,0.123,0.554,0.494,0.154
886,0.099,0.129,0.246,0.532,0.123,0.552,0.492,0.154
887,0.099,0.129,0.245,0.530,0.122,0.550,0.490,0.153
888,0.098,0.129,0.244,0.527,0.122,0.549,0.489,0.153
889,0.098,0.129,0.243,0.525,0.121,0.547,0.487,0.152
890,0.098,0.128,0.241,0.523,0.121,0.545,0.486,0.152
891,0.097,0.128,0.240,0.521,0.121,0.544,0.484,0.151
892,0.097,0.128,0.239,0.519,0.120,0.542,0.482,0.151
893,0.097,0.127,0.238,0.517,0.120,0.541,0.481,0.150
894,0.097,0.127,0.237,0.515,0.120,0.539,0.479,0.150
895,0.096,0.127,0.236,0.513,0.119,0.537,0.478,0.149
896,0.096,0.126,0.235,0.511,0.119,0.536,0.477,0.149
897,0.096,0.126,0.234,0.509,0.119,0.535,0.475,0.149
898,0.096,0.126,0.233,0.508,0.118,0.533,0.474,0.148
899,0.095,0.126,0.233,0.506,0.118,0.532,0.473,0.148
900,0.095,0.126,0.232,0.505,0.118,0.531,0.472,0.148
901,0.095,0.125,0.231,0.503,0.118,0.530,0.471,0.148
902,0.095,0.125,0.230,0.502,0.117,0.529,0.469,0.147
903,0.094,0.125,0.229,0.501,0.117,0.528,0.468,0.147
904,0.094,0.125,0.229,0.499,0.117,0.527,0.467,0.147
905,0.094,0.124,0.228,0.498,0.117,0.526,0.467,0.146
906,0.094,0.124,0.228,0.497,0.116,0.525,0.466,0.146
907,0.094,0.124,0.227,0.496,0.116,0.524,0.465,0.146
908,0.094,0.124,0.227,0.495,0.116,0.523,0.464,0.146
909,0.094,0.124,0.226,0.494,0.116,0.523,0.464,0.146
910,0.094,0.124,0.226,0.493,0.116,0.522,0.463,0.145
911,0.093,0.124,0.225,0.492,0.116,0.522,0.463,0.145
912,0.093,0.123,0.225,0.491,0.116,0.521,0.462,0.145
913,0.093,0.123,0.224,0.491,0.115,0.520,0.461,0.145
914,0.093,0.123,0.224,0.490,0.115,0.520,0.461,0.145
915,0.093,0.123,0.223,0.489,0.115,0.519,0.460,0.145
916,0.093,0.123,0.223,0.489,0.115,0.519,0.459,0.145
917,0.093,0.123,0.223,0.488,0.115,0.518,0.459,0.145
918,0.092,0.123,0.222,0.487,0.115,0.518,0.458,0.144
919,0.092,0.123,0.222,0.487,0.115,0.517,0.458,0.144
920,0.092,0.123,0.221,0.486,0.114,0.517,0.457,0.144
921,0.092,0.123,0.221,0.486,0.114,0.516,0.457,0.144
922,0.092,0.123,0.220,0.485,0.114,0.516,0.456,0.144
923,0.091,0.123,0.219,0.484,0.114,0.515,0.456,0.143
924,0.091,0.123,0.219,0.483,0.114,0.515,0.455,0.143
925,0.091,0.123,0.218,0.482,0.114,0.514,0.454,0.143
926,0.091,0.123,0.218,0.482,0.113,0.513,0.454,0.143
927,0.091,0.123,0.217,0.481,0.113,0.513,0.453,0.142
928,0.091,0.123,0.217,0.480,0.113,0.512,0.452,0.142
929,0.091,0.122,0.216,0.480,0.113,0.511,0.452,0.142
930,0.090,0.122,0.215,0.479,0.112,0.510,0.451,0.142
931,0.090,0.122,0.215,0.478,0.112,0.510,0.451,0.142
932,0.090,0.122,0.215,0.478,0.112,0.509,0.450,0.142
933,0.091,0.122,0.214,0.477,0.112,0.508,0.450,0.142
934,0.091,0.122,0.214,0.477,0.113,0.508,0.449,0.143
935,0.091,0.122,0.214,0.476,0.113,0.508,0.449,0.143
936,0.091,0.122,0.214,0.475,0.113,0.507,0.448,0.143
937,0.092,0.123,0.214,0.473,0.113,0.506,0.447,0.144
938,0.092,0.122,0.213,0.472,0.113,0.506,0.446,0.144
939,0.092,0.122,0.212,0.471,0.113,0.505,0.446,0.144
940,0.092,0.122,0.212,0.470,0.113,0.504,0.445,0.144
941,0.092,0.123,0.212,0.468,0.114,0.503,0.444,0.144
942,0.092,0.123,0.212,0.467,0.114,0.502,0.443,0.144
943,0.092,0.122,0.211,0.466,0.113,0.501,0.442,0.144
944,0.093,0.123,0.211,0.464,0.113,0.500,0.441,0.144
945,0.093,0.124,0.210,0.463,0.114,0.499,0.440,0.144
946,0.093,0.124,0.209,0.460,0.114,0.498,0.438,0.144
947,0.093,0.123,0.208,0.458,0.114,0.496,0.437,0.144
948,0.092,0.123,0.207,0.456,0.113,0.494,0.435,0.143
949,0.092,0.122,0.205,0.453,0.113,0.492,0.433,0.143
950,0.091,0.121,0.203,0.450,0.112,0.490,0.431,0.142
951,0.090,0.120,0.202,0.448,0.112,0.488,0.429,0.141
952,0.090,0.120,0.200,0.446,0.111,0.486,0.428,0.140
953,0.089,0.120,0.199,0.443,0.111,0.483,0.426,0.140
954,0.089,0.120,0.198,0.441,0.111,0.481,0.423,0.140
955,0.089,0.120,0.197,0.438,0.111,0.479,0.421,0.140
956,0.088,0.119,0.195,0.435,0.111,0.477,0.419,0.139
957,0.087,0.119,0.194,0.432,0.110,0.474,0.417,0.138
958,0.086,0.118,0.192,0.429,0.110,0.471,0.414,0.137
959,0.086,0.117,0.191,0.426,0.109,0.467,0.411,0.136
960,0.085,0.116,0.189,0.423,0.109,0.464,0.409,0.136
961,0.085,0.115,0.188,0.419,0.108,0.460,0.406,0.135
962,0.085,0.115,0.187,0.416,0.108,0.457,0.404,0.134
963,0.084,0.114,0.186,0.412,0.107,0.454,0.401,0.133
964,0.084,0.114,0.185,0.409,0.107,0.451,0.399,0.132
965,0.084,0.114,0.184,0.406,0.107,0.448,0.396,0.131
966,0.084,0.114,0.182,0.403,0.106,0.445,0.393,0.130
967,0.083,0.114,0.181,0.400,0.105,0.442,0.391,0.130
968,0.083,0.113,0.180,0.397,0.105,0.439,0.388,0.129
969,0.083,0.113,0.178,0.393,0.104,0.436,0.386,0.128
970,0.082,0.112,0.176,0.390,0.103,0.433,0.383,0.127
971,0.082,0.111,0.175,0.387,0.102,0.430,0.380,0.126
972,0.082,0.110,0.174,0.384,0.102,0.427,0.378,0.125
973,0.082,0.110,0.173,0.381,0.102,0.425,0.375,0.125
974,0.082,0.110,0.172,0.378,0.101,0.423,0.373,0.124
975,0.081,0.110,0.171,0.375,0.101,0.420,0.371,0.123
976,0.081,0.109,0.170,0.373,0.100,0.418,0.369,0.123
977,0.080,0.109,0.169,0.371,0.099,0.416,0.367,0.122
978,0.080,0.109,0.168,0.369,0.099,0.414,0.364,0.122
979,0.080,0.109,0.167,0.366,0.098,0.412,0.362,0.122
980,0.080,0.109,0.166,0.364,0.098,0.410,0.360,0.121
981,0.079,0.109,0.165,0.361,0.098,0.408,0.357,0.121
982,0.079,0.108,0.164,0.359,0.097,0.406,0.355,0.121
983,0.079,0.108,0.164,0.356,0.097,0.404,0.352,0.120
984,0.079,0.108,0.163,0.354,0.096,0.402,0.350,0.120
985,0.079,0.108,0.162,0.351,0.096,0.399,0.348,0.119
986,0.078,0.108,0.161,0.349,0.096,0.397,0.345,0.119
987,0.078,0.108,0.160,0.346,0.095,0.395,0.343,0.118
988,0.077,0.108,0.159,0.344,0.095,0.393,0.341,0.118
989,0.077,0.107,0.158,0.341,0.094,0.391,0.338,0.117
990,0.076,0.107,0.157,0.338,0.094,0.389,0.336,0.116
991,0.076,0.106,0.156,0.336,0.093,0.386,0.334,0.116
992,0.076,0.105,0.155,0.333,0.093,0.384,0.331,0.115
993,0.076,0.105,0.154,0.331,0.093,0.382,0.329,0.115
994,0.076,0.104,0.153,0.329,0.092,0.380,0.327,0.114
995,0.075,0.104,0.152,0.326,0.092,0.378,0.325,0.113
996,0.075,0.104,0.151,0.324,0.092,0.376,0.323,0.112
997,0.074,0.103,0.150,0.322,0.092,0.374,0.322,0.112
998,0.074,0.103,0.149,0.320,0.091,0.372,0.320,0.111
999,0.074,0.103,0.148,0.318,0.091,0.370,0.319,0.110
1000,0.075,0.102,0.149,0.317,0.091,0.369,0.318,0.111
1001,0.075,0.101,0.148,0.315,0.091,0.367,0.316,0.110
1002,0.075,0.101,0.147,0.313,0.091,0.365,0.315,0.110
1003,0.075,0.101,0.147,0.312,0.091,0.363,0.314,0.109
1004,0.075,0.100,0.146,0.311,0.091,0.362,0.313,0.109
1005,0.075,0.100,0.145,0.310,0.091,0.361,0.311,0.109
1006,0.075,0.099,0.145,0.308,0.091,0.359,0.310,0.108
1007,0.075,0.099,0.144,0.307,0.090,0.358,0.308,0.108
1008,0.074,0.098,0.144,0.306,0.090,0.356,0.306,0.108
1009,0.074,0.097,0.144,0.305,0.089,0.354,0.304,0.108
1010,0.074,0.096,0.144,0.305,0.089,0.352,0.303,0.108
1011,0.074,0.095,0.143,0.304,0.088,0.351,0.301,0.108
1012,0.074,0.094,0.143,0.303,0.088,0.349,0.299,0.108
1013,0.074,0.094,0.143,0.302,0.088,0.347,0.298,0.108
1014,0.074,0.093,0.142,0.301,0.088,0.346,0.296,0.108
1015,0.073,0.092,0.141,0.299,0.087,0.344,0.294,0.107
1016,0.073,0.091,0.140,0.298,0.087,0.343,0.293,0.107
1017,0.073,0.090,0.139,0.297,0.087,0.342,0.291,0.108
1018,0.073,0.090,0.139,0.296,0.087,0.341,0.289,0.108
1019,0.072,0.089,0.138,0.294,0.086,0.339,0.288,0.108
1020,0.072,0.089,0.138,0.293,0.086,0.338,0.287,0.108
1021,0.072,0.089,0.138,0.292,0.086,0.337,0.286,0.107
1022,0.071,0.088,0.137,0.291,0.086,0.335,0.285,0.107
1023,0.071,0.088,0.137,0.290,0.086,0.334,0.285,0.106
1024,0.071,0.088,0.136,0.289,0.087,0.333,0.285,0.106
1025,0.071,0.088,0.135,0.288,0.087,0.333,0.285,0.106
1026,0.071,0.088,0.135,0.287,0.086,0.333,0.284,0.105
1027,0.070,0.088,0.135,0.287,0.086,0.333,0.284,0.105
1028,0.070,0.088,0.135,0.287,0.085,0.333,0.284,0.105
1029,0.070,0.088,0.135,0.287,0.085,0.333,0.283,0.105
1030,0.070,0.088,0.136,0.287,0.085,0.333,0.282,0.106
1031,0.070,0.088,0.136,0.286,0.085,0.334,0.282,0.106
1032,0.070,0.088,0.137,0.286,0.085,0.334,0.281,0.106
1033,0.070,0.088,0.137,0.287,0.085,0.334,0.281,0.106
1034,0.071,0.087,0.138,0.287,0.084,0.334,0.281,0.106
1035,0.071,0.087,0.138,0.287,0.084,0.335,0.281,0.106
1036,0.071,0.086,0.138,0.288,0.083,0.336,0.282,0.107
1037,0.071,0.086,0.139,0.289,0.083,0.337,0.282,0.107
1038,0.070,0.085,0.139,0.289,0.083,0.338,0.282,0.108
1039,0.070,0.085,0.140,0.290,0.083,0.338,0.283,0.108
1040,0.071,0.085,0.140,0.290,0.084,0.339,0.283,0.109
1041,0.071,0.084,0.140,0.290,0.084,0.339,0.284,0.109
1042,0.072,0.084,0.140,0.290,0.085,0.339,0.284,0.109
1043,0.073,0.085,0.140,0.291,0.086,0.339,0.285,0.108
1044,0.073,0.085,0.140,0.292,0.086,0.340,0.286,0.108
1045,0.073,0.085,0.140,0.293,0.086,0.340,0.288,0.108
1046,0.073,0.085,0.140,0.294,0.086,0.341,0.290,0.108
1047,0.073,0.085,0.141,0.295,0.086,0.341,0.291,0.108
1048,0.073,0.085,0.141,0.296,0.086,0.342,0.293,0.108
1049,0.074,0.085,0.142,0.297,0.086,0.343,0.295,0.108
