Start time (UTC), 0820 
 Sky conditions, CO-SDNV 
 Other notes, ASD only at 2 stakes locations (Drone Bones & Reunion stakes). Data not usable due to improper settings on Panasonic laptop.  
 Ship latitude, 81.6165
 Ship longitude, 3.45089
Position, 1, 2, 3, 4, 5, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
495,,0.701,0.544,0.692,0.753,0.716,,0.594
496,,0.701,0.544,0.692,0.753,0.716,,0.593
497,,0.701,0.545,0.692,0.753,0.716,,0.593
498,,0.701,0.545,0.691,0.753,0.716,,0.593
499,,0.701,0.545,0.691,0.753,0.716,,0.593
500,,0.701,0.545,0.691,0.753,0.716,,0.593
501,,0.701,0.545,0.691,0.753,0.715,,0.592
502,,0.700,0.546,0.691,0.753,0.715,,0.592
503,,0.700,0.546,0.691,0.753,0.715,,0.592
504,,0.700,0.546,0.691,0.753,0.715,,0.592
505,,0.700,0.546,0.691,0.753,0.715,,0.592
506,,0.700,0.546,0.691,0.753,0.715,,0.591
507,,0.700,0.546,0.691,0.753,0.715,,0.591
508,,0.699,0.546,0.691,0.753,0.714,,0.591
509,,0.699,0.546,0.691,0.753,0.714,,0.591
510,,0.699,0.546,0.691,0.753,0.714,,0.591
511,,0.699,0.546,0.691,0.753,0.714,,0.590
512,,0.699,0.546,0.691,0.753,0.714,,0.590
513,,0.698,0.546,0.691,0.753,0.714,,0.590
514,,0.698,0.547,0.691,0.753,0.714,,0.590
515,,0.698,0.547,0.691,0.753,0.714,,0.589
516,,0.698,0.547,0.691,0.753,0.714,,0.589
517,,0.698,0.547,0.690,0.753,0.714,,0.589
518,,0.698,0.547,0.691,0.753,0.713,,0.589
519,,0.697,0.547,0.690,0.753,0.713,,0.589
520,,0.697,0.547,0.690,0.753,0.713,,0.588
521,,0.697,0.547,0.690,0.753,0.713,,0.588
522,,0.697,0.547,0.690,0.753,0.713,,0.588
523,,0.697,0.548,0.690,0.753,0.713,,0.588
524,,0.697,0.548,0.690,0.753,0.713,,0.588
525,,0.696,0.548,0.690,0.753,0.712,,0.588
526,,0.696,0.548,0.690,0.753,0.712,,0.587
527,,0.696,0.548,0.690,0.753,0.712,,0.587
528,,0.696,0.548,0.690,0.752,0.712,,0.587
