Start time (UTC), 0434 
 Sky conditions, nan 
 Other notes, nan 
 Ship latitude, 89.00418
 Ship longitude, 99.06171
Position, 1, 1, 2, 2
Surface type, S, S, S, S
Surface thickness (cm), 0.2, 0.5, 0.2, 0.2
Notes, standing position. Mushy rain-saturated snow, kneeling position. Mushy rain-saturated snow,               standing position. Frozen rain,               kneeling position. Frozen rain
Change in incident (%),0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3
350,0.509,0.437,0.411,0.240
351,0.509,0.437,0.412,0.240
352,0.509,0.440,0.411,0.240
353,0.509,0.441,0.410,0.240
354,0.509,0.441,0.411,0.241
355,0.510,0.441,0.413,0.242
356,0.510,0.440,0.414,0.242
357,0.508,0.438,0.413,0.240
358,0.507,0.435,0.412,0.240
359,0.508,0.435,0.412,0.241
360,0.510,0.437,0.411,0.241
361,0.510,0.437,0.411,0.240
362,0.509,0.437,0.410,0.240
363,0.508,0.436,0.410,0.240
364,0.508,0.435,0.410,0.239
365,0.508,0.436,0.411,0.239
366,0.509,0.437,0.412,0.240
367,0.510,0.437,0.412,0.241
368,0.511,0.436,0.413,0.242
369,0.510,0.435,0.412,0.241
370,0.511,0.435,0.410,0.240
371,0.512,0.435,0.409,0.240
372,0.510,0.432,0.410,0.240
373,0.510,0.436,0.411,0.240
374,0.510,0.438,0.411,0.240
375,0.509,0.436,0.411,0.239
376,0.510,0.437,0.411,0.240
377,0.510,0.437,0.410,0.239
378,0.509,0.437,0.411,0.239
379,0.510,0.436,0.411,0.241
380,0.509,0.437,0.412,0.241
381,0.510,0.437,0.412,0.239
382,0.510,0.436,0.411,0.238
383,0.511,0.436,0.409,0.240
384,0.511,0.436,0.410,0.239
385,0.510,0.436,0.412,0.239
386,0.510,0.436,0.413,0.239
387,0.511,0.437,0.411,0.239
388,0.510,0.438,0.412,0.240
389,0.509,0.439,0.413,0.241
390,0.511,0.438,0.411,0.239
391,0.510,0.437,0.411,0.239
392,0.509,0.437,0.410,0.238
393,0.508,0.437,0.410,0.238
394,0.507,0.437,0.410,0.240
395,0.510,0.437,0.410,0.240
396,0.511,0.436,0.409,0.240
397,0.510,0.436,0.409,0.240
398,0.509,0.436,0.411,0.238
399,0.509,0.436,0.411,0.239
400,0.510,0.436,0.411,0.239
401,0.509,0.437,0.411,0.238
402,0.509,0.437,0.411,0.237
403,0.510,0.435,0.411,0.238
404,0.510,0.434,0.412,0.239
405,0.509,0.434,0.411,0.238
406,0.509,0.435,0.412,0.239
407,0.509,0.435,0.412,0.239
408,0.508,0.435,0.412,0.238
409,0.508,0.435,0.411,0.237
410,0.508,0.434,0.411,0.237
411,0.509,0.434,0.411,0.238
412,0.510,0.434,0.411,0.237
413,0.509,0.434,0.411,0.238
414,0.509,0.433,0.411,0.238
415,0.509,0.433,0.411,0.238
416,0.509,0.433,0.412,0.238
417,0.509,0.433,0.411,0.238
418,0.509,0.433,0.411,0.238
419,0.509,0.433,0.411,0.238
420,0.509,0.433,0.411,0.237
421,0.508,0.433,0.411,0.237
422,0.508,0.434,0.411,0.238
423,0.509,0.434,0.411,0.238
424,0.509,0.433,0.411,0.237
425,0.510,0.433,0.411,0.238
426,0.510,0.433,0.411,0.237
427,0.510,0.433,0.411,0.236
428,0.509,0.433,0.411,0.237
429,0.509,0.433,0.411,0.237
430,0.509,0.433,0.411,0.237
431,0.510,0.433,0.411,0.237
432,0.509,0.432,0.411,0.237
433,0.508,0.432,0.411,0.238
434,0.508,0.432,0.411,0.237
435,0.509,0.432,0.411,0.237
436,0.509,0.432,0.411,0.237
437,0.509,0.432,0.412,0.236
438,0.509,0.432,0.412,0.236
439,0.510,0.432,0.411,0.236
440,0.509,0.432,0.411,0.237
441,0.509,0.432,0.411,0.236
442,0.508,0.432,0.411,0.236
443,0.509,0.432,0.411,0.237
444,0.509,0.432,0.411,0.237
445,0.509,0.432,0.411,0.236
446,0.510,0.432,0.411,0.236
447,0.510,0.432,0.411,0.236
448,0.509,0.431,0.411,0.236
449,0.509,0.431,0.411,0.236
450,0.509,0.431,0.411,0.236
451,0.509,0.431,0.411,0.236
452,0.509,0.431,0.411,0.236
453,0.509,0.431,0.412,0.235
454,0.509,0.432,0.412,0.236
455,0.509,0.432,0.411,0.236
456,0.510,0.431,0.411,0.236
457,0.509,0.431,0.412,0.236
458,0.509,0.431,0.412,0.236
459,0.509,0.432,0.411,0.236
460,0.509,0.432,0.411,0.236
461,0.509,0.431,0.411,0.236
462,0.509,0.431,0.411,0.236
463,0.510,0.431,0.411,0.236
464,0.509,0.431,0.411,0.236
465,0.509,0.431,0.411,0.236
466,0.509,0.431,0.411,0.235
467,0.509,0.431,0.411,0.235
468,0.509,0.431,0.412,0.236
469,0.509,0.431,0.412,0.235
470,0.509,0.431,0.412,0.235
471,0.509,0.431,0.411,0.235
472,0.509,0.431,0.411,0.235
473,0.509,0.431,0.411,0.236
474,0.509,0.431,0.411,0.236
475,0.509,0.431,0.411,0.235
476,0.509,0.431,0.411,0.235
477,0.509,0.431,0.412,0.236
478,0.509,0.431,0.412,0.236
479,0.509,0.431,0.411,0.235
480,0.509,0.431,0.411,0.235
481,0.509,0.431,0.411,0.235
482,0.509,0.430,0.411,0.236
483,0.509,0.430,0.411,0.235
484,0.510,0.431,0.412,0.235
485,0.510,0.431,0.412,0.235
486,0.510,0.431,0.411,0.235
487,0.509,0.431,0.411,0.235
488,0.508,0.430,0.411,0.235
489,0.508,0.430,0.411,0.235
490,0.508,0.430,0.411,0.235
491,0.508,0.430,0.411,0.235
492,0.508,0.430,0.411,0.235
493,0.508,0.430,0.411,0.234
494,0.509,0.431,0.411,0.235
495,0.510,0.431,0.411,0.235
496,0.509,0.430,0.411,0.235
497,0.508,0.430,0.411,0.235
498,0.508,0.430,0.412,0.235
499,0.509,0.430,0.412,0.235
500,0.510,0.430,0.412,0.236
501,0.509,0.430,0.412,0.236
502,0.509,0.429,0.411,0.236
503,0.509,0.429,0.411,0.235
504,0.509,0.429,0.410,0.235
505,0.509,0.429,0.411,0.234
506,0.509,0.430,0.411,0.234
507,0.509,0.430,0.411,0.235
508,0.509,0.430,0.411,0.235
509,0.509,0.430,0.411,0.235
510,0.508,0.429,0.410,0.234
511,0.508,0.430,0.411,0.235
512,0.509,0.430,0.411,0.234
513,0.509,0.429,0.410,0.234
514,0.509,0.429,0.411,0.234
515,0.509,0.429,0.411,0.234
516,0.509,0.430,0.411,0.235
517,0.509,0.429,0.411,0.235
518,0.509,0.429,0.411,0.234
519,0.508,0.429,0.411,0.234
520,0.508,0.429,0.411,0.234
521,0.508,0.429,0.410,0.234
522,0.508,0.429,0.410,0.234
523,0.508,0.429,0.410,0.234
524,0.508,0.429,0.411,0.234
525,0.508,0.429,0.411,0.234
526,0.508,0.429,0.411,0.234
527,0.508,0.429,0.411,0.234
528,0.509,0.428,0.410,0.234
529,0.509,0.429,0.410,0.233
530,0.508,0.429,0.410,0.234
531,0.508,0.428,0.410,0.233
532,0.509,0.428,0.410,0.233
533,0.509,0.428,0.411,0.234
534,0.508,0.428,0.410,0.234
535,0.508,0.429,0.410,0.234
536,0.508,0.428,0.411,0.234
537,0.507,0.429,0.411,0.234
538,0.508,0.429,0.411,0.234
539,0.509,0.429,0.411,0.234
540,0.508,0.428,0.411,0.234
541,0.508,0.428,0.411,0.234
542,0.508,0.428,0.410,0.234
543,0.508,0.429,0.410,0.234
544,0.507,0.428,0.410,0.233
545,0.508,0.428,0.410,0.233
546,0.509,0.427,0.410,0.234
547,0.509,0.428,0.410,0.234
548,0.508,0.428,0.410,0.234
549,0.507,0.427,0.410,0.233
550,0.507,0.427,0.410,0.233
551,0.508,0.428,0.410,0.234
552,0.508,0.428,0.410,0.234
553,0.507,0.428,0.410,0.233
554,0.507,0.427,0.410,0.233
555,0.507,0.428,0.410,0.233
556,0.508,0.427,0.410,0.233
557,0.508,0.427,0.410,0.233
558,0.507,0.427,0.410,0.232
559,0.508,0.427,0.411,0.233
560,0.508,0.426,0.411,0.233
561,0.507,0.426,0.411,0.233
562,0.507,0.426,0.410,0.233
563,0.507,0.427,0.410,0.233
564,0.507,0.427,0.410,0.233
565,0.507,0.427,0.411,0.233
566,0.506,0.427,0.410,0.233
567,0.507,0.427,0.409,0.233
568,0.508,0.427,0.409,0.233
569,0.507,0.426,0.409,0.233
570,0.507,0.426,0.409,0.233
571,0.507,0.427,0.408,0.232
572,0.506,0.428,0.408,0.232
573,0.507,0.427,0.408,0.233
574,0.506,0.427,0.408,0.233
575,0.506,0.426,0.409,0.233
576,0.507,0.426,0.408,0.233
577,0.507,0.426,0.409,0.232
578,0.507,0.426,0.409,0.232
579,0.507,0.427,0.409,0.232
580,0.506,0.427,0.408,0.232
581,0.506,0.427,0.408,0.233
582,0.506,0.427,0.408,0.233
583,0.506,0.427,0.409,0.233
584,0.506,0.427,0.409,0.232
585,0.506,0.427,0.408,0.232
586,0.505,0.428,0.408,0.233
587,0.505,0.428,0.409,0.232
588,0.506,0.428,0.410,0.231
589,0.506,0.427,0.410,0.231
590,0.506,0.426,0.410,0.231
591,0.507,0.426,0.410,0.232
592,0.506,0.425,0.410,0.232
593,0.506,0.425,0.410,0.232
594,0.506,0.426,0.410,0.231
595,0.507,0.427,0.410,0.232
596,0.506,0.427,0.410,0.232
597,0.506,0.427,0.409,0.232
598,0.505,0.427,0.409,0.233
599,0.506,0.427,0.409,0.231
600,0.506,0.426,0.409,0.230
601,0.506,0.426,0.409,0.231
602,0.506,0.426,0.409,0.232
603,0.506,0.425,0.409,0.232
604,0.506,0.425,0.409,0.232
605,0.506,0.424,0.409,0.232
606,0.506,0.425,0.409,0.231
607,0.507,0.425,0.409,0.231
608,0.507,0.425,0.409,0.232
609,0.506,0.425,0.409,0.231
610,0.506,0.425,0.409,0.232
611,0.506,0.425,0.408,0.232
612,0.505,0.426,0.409,0.231
613,0.506,0.425,0.408,0.232
614,0.507,0.426,0.409,0.232
615,0.506,0.427,0.409,0.231
616,0.505,0.427,0.409,0.231
617,0.506,0.427,0.409,0.232
618,0.506,0.426,0.409,0.232
619,0.506,0.426,0.409,0.232
620,0.506,0.427,0.409,0.232
621,0.506,0.426,0.408,0.231
622,0.506,0.425,0.408,0.231
623,0.505,0.425,0.408,0.232
624,0.505,0.426,0.408,0.232
625,0.505,0.426,0.408,0.232
626,0.506,0.426,0.407,0.231
627,0.505,0.425,0.408,0.232
628,0.505,0.425,0.408,0.231
629,0.505,0.426,0.406,0.231
630,0.505,0.426,0.405,0.233
631,0.505,0.426,0.406,0.231
632,0.505,0.426,0.406,0.231
633,0.505,0.426,0.407,0.232
634,0.505,0.425,0.408,0.232
635,0.505,0.425,0.409,0.231
636,0.505,0.425,0.408,0.232
637,0.506,0.426,0.408,0.232
638,0.506,0.426,0.408,0.231
639,0.505,0.424,0.408,0.230
640,0.504,0.423,0.407,0.229
641,0.505,0.424,0.406,0.230
642,0.504,0.424,0.406,0.231
643,0.504,0.424,0.407,0.232
644,0.504,0.424,0.407,0.231
645,0.505,0.425,0.407,0.231
646,0.504,0.425,0.407,0.230
647,0.504,0.425,0.407,0.230
648,0.505,0.426,0.408,0.231
649,0.504,0.425,0.407,0.231
650,0.504,0.424,0.406,0.230
651,0.503,0.424,0.406,0.229
652,0.503,0.425,0.406,0.230
653,0.503,0.425,0.407,0.231
654,0.503,0.425,0.407,0.231
655,0.504,0.424,0.407,0.231
656,0.504,0.424,0.406,0.231
657,0.503,0.424,0.407,0.232
658,0.503,0.424,0.406,0.231
659,0.503,0.424,0.406,0.230
660,0.502,0.424,0.407,0.231
661,0.502,0.424,0.406,0.231
662,0.503,0.424,0.406,0.231
663,0.504,0.424,0.405,0.231
664,0.503,0.424,0.406,0.231
665,0.503,0.423,0.405,0.230
666,0.503,0.423,0.405,0.231
667,0.503,0.424,0.405,0.231
668,0.503,0.424,0.406,0.230
669,0.502,0.424,0.406,0.230
670,0.502,0.423,0.405,0.230
671,0.503,0.423,0.405,0.229
672,0.503,0.423,0.405,0.229
673,0.502,0.423,0.405,0.230
674,0.502,0.422,0.405,0.229
675,0.502,0.423,0.405,0.230
676,0.502,0.424,0.405,0.230
677,0.502,0.424,0.404,0.230
678,0.501,0.423,0.405,0.230
